id,eventType,payload,status,errorMessage,receivedAt,processedAt,updatedAt
evt_d26e303b238e509335ac9ba210e51b0f&1395090090,PAYMENT_RECEIVED,"{""id"": ""evt_d26e303b238e509335ac9ba210e51b0f&1395090090"", ""event"": ""PAYMENT_RECEIVED"", ""account"": {""id"": ""de3a9dda-79b4-4df1-8036-a54389ac1e5e"", ""ownerId"": null}, ""payment"": {""id"": ""pay_f2vx8ifuhr2z4vif"", ""fine"": {""type"": ""FIXED"", ""value"": 0}, ""value"": 79.9, ""escrow"": null, ""object"": ""payment"", ""status"": ""RECEIVED"", ""deleted"": false, ""dueDate"": ""2026-05-27"", ""refunds"": null, ""customer"": ""cus_000178610397"", ""discount"": {""type"": ""FIXED"", ""value"": 0, ""limitDate"": null, ""dueDateLimitDays"": 0}, ""interest"": {""type"": ""PERCENTAGE"", ""value"": 0}, ""netValue"": 77.04, ""creditCard"": {""creditCardBrand"": ""MASTERCARD"", ""creditCardNumber"": ""4171""}, ""creditDate"": ""2026-06-29"", ""invoiceUrl"": ""https://www.asaas.com/i/f2vx8ifuhr2z4vif"", ""anticipable"": false, ""anticipated"": false, ""bankSlipUrl"": null, ""billingType"": ""CREDIT_CARD"", ""dateCreated"": ""2026-05-27"", ""description"": ""Parcela 1 de 6. Corretor Studio - Nova adesão Semestral"", ""installment"": ""d64594aa-d7a1-4656-b4da-edda140b0c20"", ""nossoNumero"": null, ""paymentDate"": ""2026-06-29"", ""paymentLink"": null, ""confirmedDate"": ""2026-05-27"", ""interestValue"": null, ""invoiceNumber"": ""819846997"", ""originalValue"": null, ""postalService"": false, ""pixTransaction"": null, ""checkoutSession"": null, ""originalDueDate"": ""2026-05-27"", ""clientPaymentDate"": ""2026-05-27"", ""externalReference"": ""backoffice-adhesion-d640e41c-2134-4850-a575-1487802654ac"", ""installmentNumber"": 1, ""estimatedCreditDate"": ""2026-06-29"", ""lastInvoiceViewedDate"": null, ""transactionReceiptUrl"": ""https://www.asaas.com/comprovantes/h/UEFZTUVOVF9SRUNFSVZFRDpwYXlfZjJ2eDhpZnVocjJ6NHZpZg%3D%3D"", ""lastBankSlipViewedDate"": null}, ""dateCreated"": ""2026-06-29 01:28:47""}",processed,,2026-07-01 20:34:53.815+00,2026-07-01 20:35:05.13+00,2026-07-01 20:35:05.131+00
evt_7d80d3d873fd3e32dbd575b350f1b4b5&1395803474,PAYMENT_ANTICIPATED,"{""id"": ""evt_7d80d3d873fd3e32dbd575b350f1b4b5&1395803474"", ""event"": ""PAYMENT_ANTICIPATED"", ""account"": {""id"": ""de3a9dda-79b4-4df1-8036-a54389ac1e5e"", ""ownerId"": null}, ""payment"": {""id"": ""pay_1c2rvcsruyn4sck9"", ""fine"": {""type"": ""FIXED"", ""value"": 0}, ""value"": 79.9, ""escrow"": null, ""object"": ""payment"", ""status"": ""CONFIRMED"", ""deleted"": false, ""dueDate"": ""2026-09-27"", ""refunds"": null, ""customer"": ""cus_000178610397"", ""discount"": {""type"": ""FIXED"", ""value"": 0, ""limitDate"": null, ""dueDateLimitDays"": 0}, ""interest"": {""type"": ""PERCENTAGE"", ""value"": 0}, ""netValue"": 79.9, ""creditCard"": {""creditCardBrand"": ""MASTERCARD"", ""creditCardNumber"": ""4171""}, ""creditDate"": ""2026-11-03"", ""invoiceUrl"": ""https://www.asaas.com/i/1c2rvcsruyn4sck9"", ""anticipable"": false, ""anticipated"": true, ""bankSlipUrl"": null, ""billingType"": ""CREDIT_CARD"", ""dateCreated"": ""2026-05-27"", ""description"": ""Parcela 5 de 6. Corretor Studio - Nova adesão Semestral"", ""installment"": ""d64594aa-d7a1-4656-b4da-edda140b0c20"", ""nossoNumero"": null, ""paymentDate"": null, ""paymentLink"": null, ""confirmedDate"": ""2026-05-27"", ""interestValue"": null, ""invoiceNumber"": ""819847025"", ""originalValue"": null, ""postalService"": false, ""pixTransaction"": null, ""checkoutSession"": null, ""originalDueDate"": ""2026-09-27"", ""clientPaymentDate"": ""2026-05-27"", ""externalReference"": ""backoffice-adhesion-d640e41c-2134-4850-a575-1487802654ac"", ""installmentNumber"": 5, ""estimatedCreditDate"": ""2026-11-03"", ""lastInvoiceViewedDate"": null, ""transactionReceiptUrl"": ""https://www.asaas.com/comprovantes/0543665055168424"", ""lastBankSlipViewedDate"": null}, ""dateCreated"": ""2026-06-29 13:43:02""}",processed,,2026-07-01 20:34:57.97+00,2026-07-01 20:35:06.39+00,2026-07-01 20:35:06.391+00
evt_7d80d3d873fd3e32dbd575b350f1b4b5&1395803462,PAYMENT_ANTICIPATED,"{""id"": ""evt_7d80d3d873fd3e32dbd575b350f1b4b5&1395803462"", ""event"": ""PAYMENT_ANTICIPATED"", ""account"": {""id"": ""de3a9dda-79b4-4df1-8036-a54389ac1e5e"", ""ownerId"": null}, ""payment"": {""id"": ""pay_uem0u31cf57awa2w"", ""fine"": {""type"": ""FIXED"", ""value"": 0}, ""value"": 79.9, ""escrow"": null, ""object"": ""payment"", ""status"": ""CONFIRMED"", ""deleted"": false, ""dueDate"": ""2026-10-27"", ""refunds"": null, ""customer"": ""cus_000178610397"", ""discount"": {""type"": ""FIXED"", ""value"": 0, ""limitDate"": null, ""dueDateLimitDays"": 0}, ""interest"": {""type"": ""PERCENTAGE"", ""value"": 0}, ""netValue"": 79.9, ""creditCard"": {""creditCardBrand"": ""MASTERCARD"", ""creditCardNumber"": ""4171""}, ""creditDate"": ""2026-12-07"", ""invoiceUrl"": ""https://www.asaas.com/i/uem0u31cf57awa2w"", ""anticipable"": false, ""anticipated"": true, ""bankSlipUrl"": null, ""billingType"": ""CREDIT_CARD"", ""dateCreated"": ""2026-05-27"", ""description"": ""Parcela 6 de 6. Corretor Studio - Nova adesão Semestral"", ""installment"": ""d64594aa-d7a1-4656-b4da-edda140b0c20"", ""nossoNumero"": null, ""paymentDate"": null, ""paymentLink"": null, ""confirmedDate"": ""2026-05-27"", ""interestValue"": null, ""invoiceNumber"": ""819847032"", ""originalValue"": null, ""postalService"": false, ""pixTransaction"": null, ""checkoutSession"": null, ""originalDueDate"": ""2026-10-27"", ""clientPaymentDate"": ""2026-05-27"", ""externalReference"": ""backoffice-adhesion-d640e41c-2134-4850-a575-1487802654ac"", ""installmentNumber"": 6, ""estimatedCreditDate"": ""2026-12-07"", ""lastInvoiceViewedDate"": null, ""transactionReceiptUrl"": ""https://www.asaas.com/comprovantes/0543665055168424"", ""lastBankSlipViewedDate"": null}, ""dateCreated"": ""2026-06-29 13:43:01""}",processed,,2026-07-01 20:34:55.898+00,2026-07-01 20:35:02.932+00,2026-07-01 20:35:02.933+00
evt_7d80d3d873fd3e32dbd575b350f1b4b5&1395803481,PAYMENT_ANTICIPATED,"{""id"": ""evt_7d80d3d873fd3e32dbd575b350f1b4b5&1395803481"", ""event"": ""PAYMENT_ANTICIPATED"", ""account"": {""id"": ""de3a9dda-79b4-4df1-8036-a54389ac1e5e"", ""ownerId"": null}, ""payment"": {""id"": ""pay_nthpbpsm5jm86g8l"", ""fine"": {""type"": ""FIXED"", ""value"": 0}, ""value"": 79.9, ""escrow"": null, ""object"": ""payment"", ""status"": ""CONFIRMED"", ""deleted"": false, ""dueDate"": ""2026-07-27"", ""refunds"": null, ""customer"": ""cus_000178610397"", ""discount"": {""type"": ""FIXED"", ""value"": 0, ""limitDate"": null, ""dueDateLimitDays"": 0}, ""interest"": {""type"": ""PERCENTAGE"", ""value"": 0}, ""netValue"": 79.9, ""creditCard"": {""creditCardBrand"": ""MASTERCARD"", ""creditCardNumber"": ""4171""}, ""creditDate"": ""2026-08-31"", ""invoiceUrl"": ""https://www.asaas.com/i/nthpbpsm5jm86g8l"", ""anticipable"": false, ""anticipated"": true, ""bankSlipUrl"": null, ""billingType"": ""CREDIT_CARD"", ""dateCreated"": ""2026-05-27"", ""description"": ""Parcela 3 de 6. Corretor Studio - Nova adesão Semestral"", ""installment"": ""d64594aa-d7a1-4656-b4da-edda140b0c20"", ""nossoNumero"": null, ""paymentDate"": null, ""paymentLink"": null, ""confirmedDate"": ""2026-05-27"", ""interestValue"": null, ""invoiceNumber"": ""819847012"", ""originalValue"": null, ""postalService"": false, ""pixTransaction"": null, ""checkoutSession"": null, ""originalDueDate"": ""2026-07-27"", ""clientPaymentDate"": ""2026-05-27"", ""externalReference"": ""backoffice-adhesion-d640e41c-2134-4850-a575-1487802654ac"", ""installmentNumber"": 3, ""estimatedCreditDate"": ""2026-08-31"", ""lastInvoiceViewedDate"": null, ""transactionReceiptUrl"": ""https://www.asaas.com/comprovantes/0543665055168424"", ""lastBankSlipViewedDate"": null}, ""dateCreated"": ""2026-06-29 13:43:02""}",processed,,2026-07-01 20:35:02.252+00,2026-07-01 20:35:09.287+00,2026-07-01 20:35:09.288+00
evt_d9f532ab6cbfc970702e9acaf430b7d5&1419431770,SUBSCRIPTION_UPDATED,"{""id"": ""evt_d9f532ab6cbfc970702e9acaf430b7d5&1419431770"", ""event"": ""SUBSCRIPTION_UPDATED"", ""account"": {""id"": ""de3a9dda-79b4-4df1-8036-a54389ac1e5e"", ""ownerId"": null}, ""dateCreated"": ""2026-07-14 11:02:19"", ""subscription"": {""id"": ""sub_1c3j0ootmufmf3t5"", ""fine"": {""type"": ""FIXED"", ""value"": 0}, ""cycle"": ""MONTHLY"", ""split"": null, ""value"": 199.2, ""object"": ""subscription"", ""status"": ""ACTIVE"", ""deleted"": false, ""customer"": ""cus_000180957843"", ""interest"": {""type"": ""PERCENTAGE"", ""value"": 0}, ""billingType"": ""PIX"", ""dateCreated"": ""2026-07-01"", ""description"": ""add_user"", ""nextDueDate"": ""2026-09-17"", ""paymentLink"": null, ""checkoutSession"": null, ""externalReference"": ""manager-df71451b-bcd2-4602-9b7b-230b32f08b65-1782927409166"", ""sendPaymentByPostalService"": false}}",processed,,2026-07-14 14:02:25.441+00,2026-07-14 14:02:25.568+00,2026-07-14 14:02:25.569+00
evt_05b708f961d739ea7eba7e4db318f621&1399676193,PAYMENT_CREATED,"{""id"": ""evt_05b708f961d739ea7eba7e4db318f621&1399676193"", ""event"": ""PAYMENT_CREATED"", ""account"": {""id"": ""de3a9dda-79b4-4df1-8036-a54389ac1e5e"", ""ownerId"": null}, ""payment"": {""id"": ""pay_ikwxyzinv14dnixo"", ""fine"": {""type"": ""FIXED"", ""value"": 0}, ""value"": 159.4, ""escrow"": null, ""object"": ""payment"", ""status"": ""PENDING"", ""deleted"": false, ""dueDate"": ""2026-09-17"", ""refunds"": null, ""customer"": ""cus_000180957843"", ""discount"": {""type"": ""FIXED"", ""value"": 0, ""limitDate"": null, ""dueDateLimitDays"": 0}, ""interest"": {""type"": ""PERCENTAGE"", ""value"": 0}, ""netValue"": 157.41, ""creditDate"": null, ""invoiceUrl"": ""https://www.asaas.com/i/ikwxyzinv14dnixo"", ""anticipable"": false, ""anticipated"": false, ""bankSlipUrl"": null, ""billingType"": ""PIX"", ""dateCreated"": ""2026-07-01"", ""description"": ""add_user"", ""nossoNumero"": null, ""paymentDate"": null, ""paymentLink"": null, ""subscription"": ""sub_1c3j0ootmufmf3t5"", ""interestValue"": null, ""invoiceNumber"": ""846603819"", ""originalValue"": null, ""postalService"": false, ""pixTransaction"": null, ""checkoutSession"": null, ""originalDueDate"": ""2026-09-17"", ""clientPaymentDate"": null, ""externalReference"": ""manager-df71451b-bcd2-4602-9b7b-230b32f08b65-1782927409166"", ""installmentNumber"": null, ""estimatedCreditDate"": null, ""lastInvoiceViewedDate"": null, ""transactionReceiptUrl"": null, ""lastBankSlipViewedDate"": null}, ""dateCreated"": ""2026-07-01 14:36:51""}",processed,,2026-07-01 20:35:05.372+00,2026-07-01 20:35:06.649+00,2026-07-01 20:35:06.65+00
evt_7d80d3d873fd3e32dbd575b350f1b4b5&1395803478,PAYMENT_ANTICIPATED,"{""id"": ""evt_7d80d3d873fd3e32dbd575b350f1b4b5&1395803478"", ""event"": ""PAYMENT_ANTICIPATED"", ""account"": {""id"": ""de3a9dda-79b4-4df1-8036-a54389ac1e5e"", ""ownerId"": null}, ""payment"": {""id"": ""pay_n4i8c9ki6rw6sppv"", ""fine"": {""type"": ""FIXED"", ""value"": 0}, ""value"": 79.9, ""escrow"": null, ""object"": ""payment"", ""status"": ""CONFIRMED"", ""deleted"": false, ""dueDate"": ""2026-08-27"", ""refunds"": null, ""customer"": ""cus_000178610397"", ""discount"": {""type"": ""FIXED"", ""value"": 0, ""limitDate"": null, ""dueDateLimitDays"": 0}, ""interest"": {""type"": ""PERCENTAGE"", ""value"": 0}, ""netValue"": 79.9, ""creditCard"": {""creditCardBrand"": ""MASTERCARD"", ""creditCardNumber"": ""4171""}, ""creditDate"": ""2026-10-02"", ""invoiceUrl"": ""https://www.asaas.com/i/n4i8c9ki6rw6sppv"", ""anticipable"": false, ""anticipated"": true, ""bankSlipUrl"": null, ""billingType"": ""CREDIT_CARD"", ""dateCreated"": ""2026-05-27"", ""description"": ""Parcela 4 de 6. Corretor Studio - Nova adesão Semestral"", ""installment"": ""d64594aa-d7a1-4656-b4da-edda140b0c20"", ""nossoNumero"": null, ""paymentDate"": null, ""paymentLink"": null, ""confirmedDate"": ""2026-05-27"", ""interestValue"": null, ""invoiceNumber"": ""819847021"", ""originalValue"": null, ""postalService"": false, ""pixTransaction"": null, ""checkoutSession"": null, ""originalDueDate"": ""2026-08-27"", ""clientPaymentDate"": ""2026-05-27"", ""externalReference"": ""backoffice-adhesion-d640e41c-2134-4850-a575-1487802654ac"", ""installmentNumber"": 4, ""estimatedCreditDate"": ""2026-10-02"", ""lastInvoiceViewedDate"": null, ""transactionReceiptUrl"": ""https://www.asaas.com/comprovantes/0543665055168424"", ""lastBankSlipViewedDate"": null}, ""dateCreated"": ""2026-06-29 13:43:02""}",processed,,2026-07-01 20:35:00.02+00,2026-07-01 20:35:07.796+00,2026-07-01 20:35:07.797+00
evt_bdaf5c611b55dc82906787d5bfe1e5e2&1399691691,PAYMENT_CHECKOUT_VIEWED,"{""id"": ""evt_bdaf5c611b55dc82906787d5bfe1e5e2&1399691691"", ""event"": ""PAYMENT_CHECKOUT_VIEWED"", ""account"": {""id"": ""de3a9dda-79b4-4df1-8036-a54389ac1e5e"", ""ownerId"": null}, ""payment"": {""id"": ""pay_ikwxyzinv14dnixo"", ""fine"": {""type"": ""FIXED"", ""value"": 0}, ""value"": 159.4, ""escrow"": null, ""object"": ""payment"", ""status"": ""PENDING"", ""deleted"": false, ""dueDate"": ""2026-09-17"", ""refunds"": null, ""customer"": ""cus_000180957843"", ""discount"": {""type"": ""FIXED"", ""value"": 0, ""limitDate"": null, ""dueDateLimitDays"": 0}, ""interest"": {""type"": ""PERCENTAGE"", ""value"": 0}, ""netValue"": 157.41, ""creditDate"": null, ""invoiceUrl"": ""https://www.asaas.com/i/ikwxyzinv14dnixo"", ""anticipable"": false, ""anticipated"": false, ""bankSlipUrl"": null, ""billingType"": ""PIX"", ""dateCreated"": ""2026-07-01"", ""description"": ""add_user"", ""nossoNumero"": null, ""paymentDate"": null, ""paymentLink"": null, ""subscription"": ""sub_1c3j0ootmufmf3t5"", ""interestValue"": null, ""invoiceNumber"": ""846603819"", ""originalValue"": null, ""postalService"": false, ""pixTransaction"": null, ""checkoutSession"": null, ""originalDueDate"": ""2026-09-17"", ""clientPaymentDate"": null, ""externalReference"": ""manager-df71451b-bcd2-4602-9b7b-230b32f08b65-1782927409166"", ""installmentNumber"": null, ""estimatedCreditDate"": null, ""lastInvoiceViewedDate"": ""2026-07-01T17:45:00Z"", ""transactionReceiptUrl"": null, ""lastBankSlipViewedDate"": null}, ""dateCreated"": ""2026-07-01 14:45:02""}",processed,,2026-07-01 20:35:06.978+00,2026-07-01 20:35:08.135+00,2026-07-01 20:35:08.136+00
evt_2539587467a5b78191b6e3d954172c68&1408632402,PAYMENT_UPDATED,"{""id"": ""evt_2539587467a5b78191b6e3d954172c68&1408632402"", ""event"": ""PAYMENT_UPDATED"", ""account"": {""id"": ""de3a9dda-79b4-4df1-8036-a54389ac1e5e"", ""ownerId"": null}, ""payment"": {""id"": ""pay_ikwxyzinv14dnixo"", ""fine"": {""type"": ""FIXED"", ""value"": 0}, ""value"": 179.3, ""escrow"": null, ""object"": ""payment"", ""status"": ""PENDING"", ""deleted"": false, ""dueDate"": ""2026-09-17"", ""refunds"": null, ""customer"": ""cus_000180957843"", ""discount"": {""type"": ""FIXED"", ""value"": 0, ""limitDate"": null, ""dueDateLimitDays"": 0}, ""interest"": {""type"": ""PERCENTAGE"", ""value"": 0}, ""netValue"": 177.31, ""creditDate"": null, ""invoiceUrl"": ""https://www.asaas.com/i/ikwxyzinv14dnixo"", ""anticipable"": false, ""anticipated"": false, ""bankSlipUrl"": null, ""billingType"": ""PIX"", ""dateCreated"": ""2026-07-01"", ""description"": ""add_user"", ""nossoNumero"": null, ""paymentDate"": null, ""paymentLink"": null, ""subscription"": ""sub_1c3j0ootmufmf3t5"", ""interestValue"": null, ""invoiceNumber"": ""846603819"", ""originalValue"": null, ""postalService"": false, ""pixTransaction"": null, ""checkoutSession"": null, ""originalDueDate"": ""2026-09-17"", ""clientPaymentDate"": null, ""externalReference"": ""manager-df71451b-bcd2-4602-9b7b-230b32f08b65-1782927409166"", ""installmentNumber"": null, ""estimatedCreditDate"": null, ""lastInvoiceViewedDate"": ""2026-07-01T17:45:00Z"", ""transactionReceiptUrl"": null, ""lastBankSlipViewedDate"": null}, ""dateCreated"": ""2026-07-07 11:44:22""}",processed,,2026-07-07 14:44:54.147+00,2026-07-07 14:44:54.238+00,2026-07-07 14:44:54.239+00
evt_2539587467a5b78191b6e3d954172c68&1417723682,PAYMENT_UPDATED,"{""id"": ""evt_2539587467a5b78191b6e3d954172c68&1417723682"", ""event"": ""PAYMENT_UPDATED"", ""account"": {""id"": ""de3a9dda-79b4-4df1-8036-a54389ac1e5e"", ""ownerId"": null}, ""payment"": {""id"": ""pay_ikwxyzinv14dnixo"", ""fine"": {""type"": ""FIXED"", ""value"": 0}, ""value"": 199.2, ""escrow"": null, ""object"": ""payment"", ""status"": ""PENDING"", ""deleted"": false, ""dueDate"": ""2026-09-17"", ""refunds"": null, ""customer"": ""cus_000180957843"", ""discount"": {""type"": ""FIXED"", ""value"": 0, ""limitDate"": null, ""dueDateLimitDays"": 0}, ""interest"": {""type"": ""PERCENTAGE"", ""value"": 0}, ""netValue"": 197.21, ""creditDate"": null, ""invoiceUrl"": ""https://www.asaas.com/i/ikwxyzinv14dnixo"", ""anticipable"": false, ""anticipated"": false, ""bankSlipUrl"": null, ""billingType"": ""PIX"", ""dateCreated"": ""2026-07-01"", ""description"": ""add_user"", ""nossoNumero"": null, ""paymentDate"": null, ""paymentLink"": null, ""subscription"": ""sub_1c3j0ootmufmf3t5"", ""interestValue"": null, ""invoiceNumber"": ""846603819"", ""originalValue"": null, ""postalService"": false, ""pixTransaction"": null, ""checkoutSession"": null, ""originalDueDate"": ""2026-09-17"", ""clientPaymentDate"": null, ""externalReference"": ""manager-df71451b-bcd2-4602-9b7b-230b32f08b65-1782927409166"", ""installmentNumber"": null, ""estimatedCreditDate"": null, ""lastInvoiceViewedDate"": ""2026-07-01T17:45:00Z"", ""transactionReceiptUrl"": null, ""lastBankSlipViewedDate"": null}, ""dateCreated"": ""2026-07-13 11:45:07""}",processed,,2026-07-13 14:45:07.972+00,2026-07-13 14:45:08.064+00,2026-07-13 14:45:08.065+00
