id,type,status,payload,result,errorMessage,requestedByProfileId,startedAt,finishedAt,createdAt,updatedAt
1cc0220e-6bf0-41d9-b581-63bd8332a41f,HEALTH,failed,"{""keys"": []}","{""ok"": false, ""error"": ""HTTP 401""}",HTTP 401,f88f2b3b-3f45-4170-83e1-4e7999d2c012,2026-07-21 23:21:32.948+00,2026-07-21 23:21:33.192+00,2026-07-21 23:21:32.887+00,2026-07-21 23:21:33.194+00
d490e0e2-592a-4545-8225-d9bf80139293,HEALTH,succeeded,"{""keys"": []}","{""ok"": true, ""workflows"": [{""id"": ""a1b2c3d4-0002-4000-8000-000000000002"", ""name"": ""bethania-verification-web"", ""active"": true}, {""id"": ""a1b2c3d4-0003-4000-8000-000000000003"", ""name"": ""bethania-menu-main"", ""active"": true}, {""id"": ""a1b2c3d4-0004-4000-8000-000000000004"", ""name"": ""bethania-list-leads"", ""active"": true}, {""id"": ""a1b2c3d4-0005-4000-8000-000000000005"", ""name"": ""bethania-agenda-today"", ""active"": true}, {""id"": ""a1b2c3d4-0006-4000-8000-000000000006"", ""name"": ""bethania-list-tasks"", ""active"": true}, {""id"": ""a1b2c3d4-0007-4000-8000-000000000007"", ""name"": ""bethania-add-note-confirm"", ""active"": true}, {""id"": ""a1b2c3d4-0008-4000-8000-000000000008"", ""name"": ""bethania-router"", ""active"": true}, {""id"": ""a1b2c3d4-0001-4000-8000-000000000001"", ""name"": ""bethania-verification-channel"", ""active"": true}, {""id"": ""f1b2c3d4-0001-4000-8000-000000000099"", ""name"": ""bethania-push-outbound"", ""active"": true}], ""containers"": [{""name"": ""studio_bot_ops"", ""image"": ""lead-flow-bot-studio-bot-ops"", ""status"": ""Up 34 seconds (healthy)""}, {""name"": ""n8n"", ""image"": ""n8nio/n8n:2.28.5"", ""status"": ""Up 3 days (healthy)""}, {""name"": ""n8n_postgres"", ""image"": ""postgres:15-alpine"", ""status"": ""Up 11 days (healthy)""}, {""name"": ""evolution_api"", ""image"": ""evoapicloud/evolution-api:latest"", ""status"": ""Up 3 days (healthy)""}, {""name"": ""evolution_redis"", ""image"": ""redis:7-alpine"", ""status"": ""Up 2 weeks""}], ""hostVersion"": null}",,f88f2b3b-3f45-4170-83e1-4e7999d2c012,2026-07-21 23:28:23.23+00,2026-07-21 23:28:33.169+00,2026-07-21 23:28:23.191+00,2026-07-21 23:28:33.171+00
3b16a9b9-4875-49e8-a909-f9472e7d17d2,HEALTH,succeeded,"{""keys"": []}","{""ok"": true, ""workflows"": [{""id"": ""a1b2c3d4-0002-4000-8000-000000000002"", ""name"": ""bethania-verification-web"", ""active"": true}, {""id"": ""a1b2c3d4-0003-4000-8000-000000000003"", ""name"": ""bethania-menu-main"", ""active"": true}, {""id"": ""a1b2c3d4-0004-4000-8000-000000000004"", ""name"": ""bethania-list-leads"", ""active"": true}, {""id"": ""a1b2c3d4-0005-4000-8000-000000000005"", ""name"": ""bethania-agenda-today"", ""active"": true}, {""id"": ""a1b2c3d4-0006-4000-8000-000000000006"", ""name"": ""bethania-list-tasks"", ""active"": true}, {""id"": ""a1b2c3d4-0007-4000-8000-000000000007"", ""name"": ""bethania-add-note-confirm"", ""active"": true}, {""id"": ""a1b2c3d4-0008-4000-8000-000000000008"", ""name"": ""bethania-router"", ""active"": true}, {""id"": ""a1b2c3d4-0001-4000-8000-000000000001"", ""name"": ""bethania-verification-channel"", ""active"": true}, {""id"": ""f1b2c3d4-0001-4000-8000-000000000099"", ""name"": ""bethania-push-outbound"", ""active"": true}], ""containers"": [{""name"": ""studio_bot_ops"", ""image"": ""lead-flow-bot-studio-bot-ops"", ""status"": ""Up 4 minutes (healthy)""}, {""name"": ""n8n"", ""image"": ""n8nio/n8n:2.28.5"", ""status"": ""Up 3 days (healthy)""}, {""name"": ""n8n_postgres"", ""image"": ""postgres:15-alpine"", ""status"": ""Up 11 days (healthy)""}, {""name"": ""evolution_api"", ""image"": ""evoapicloud/evolution-api:latest"", ""status"": ""Up 3 days (healthy)""}, {""name"": ""evolution_redis"", ""image"": ""redis:7-alpine"", ""status"": ""Up 2 weeks""}], ""hostVersion"": null}",,f88f2b3b-3f45-4170-83e1-4e7999d2c012,2026-07-21 23:32:11.058+00,2026-07-21 23:32:14.886+00,2026-07-21 23:32:11.034+00,2026-07-21 23:32:14.887+00
a0db3d1b-d9ab-410d-b844-64affcf94634,HEALTH,succeeded,"{""keys"": []}","{""ok"": true, ""workflows"": [{""id"": ""a1b2c3d4-0002-4000-8000-000000000002"", ""name"": ""bethania-verification-web"", ""active"": true}, {""id"": ""a1b2c3d4-0003-4000-8000-000000000003"", ""name"": ""bethania-menu-main"", ""active"": true}, {""id"": ""a1b2c3d4-0004-4000-8000-000000000004"", ""name"": ""bethania-list-leads"", ""active"": true}, {""id"": ""a1b2c3d4-0005-4000-8000-000000000005"", ""name"": ""bethania-agenda-today"", ""active"": true}, {""id"": ""a1b2c3d4-0006-4000-8000-000000000006"", ""name"": ""bethania-list-tasks"", ""active"": true}, {""id"": ""a1b2c3d4-0007-4000-8000-000000000007"", ""name"": ""bethania-add-note-confirm"", ""active"": true}, {""id"": ""a1b2c3d4-0008-4000-8000-000000000008"", ""name"": ""bethania-router"", ""active"": true}, {""id"": ""a1b2c3d4-0001-4000-8000-000000000001"", ""name"": ""bethania-verification-channel"", ""active"": true}, {""id"": ""f1b2c3d4-0001-4000-8000-000000000099"", ""name"": ""bethania-push-outbound"", ""active"": true}], ""containers"": [{""name"": ""studio_bot_ops"", ""image"": ""lead-flow-bot-studio-bot-ops"", ""status"": ""Up 4 minutes (healthy)""}, {""name"": ""n8n"", ""image"": ""n8nio/n8n:2.28.5"", ""status"": ""Up 3 days (healthy)""}, {""name"": ""n8n_postgres"", ""image"": ""postgres:15-alpine"", ""status"": ""Up 11 days (healthy)""}, {""name"": ""evolution_api"", ""image"": ""evoapicloud/evolution-api:latest"", ""status"": ""Up 3 days (healthy)""}, {""name"": ""evolution_redis"", ""image"": ""redis:7-alpine"", ""status"": ""Up 2 weeks""}], ""hostVersion"": null}",,f88f2b3b-3f45-4170-83e1-4e7999d2c012,2026-07-21 23:32:27.826+00,2026-07-21 23:32:31.558+00,2026-07-21 23:32:27.814+00,2026-07-21 23:32:31.559+00
a3bdfd08-6aa6-4c09-af1a-01e62da2f080,IMPORT_WORKFLOWS,failed,,"{""ok"": false, ""error"": ""Command failed: docker exec n8n n8n import:workflow --input=/tmp/lead-flow-n8n-workflows/bethania-add-note-confirm.json\n""}","Command failed: docker exec n8n n8n import:workflow --input=/tmp/lead-flow-n8n-workflows/bethania-add-note-confirm.json
",f88f2b3b-3f45-4170-83e1-4e7999d2c012,2026-07-21 23:39:17.049+00,2026-07-21 23:39:20.943+00,2026-07-21 23:39:17.008+00,2026-07-21 23:39:20.944+00
c16cd85e-26cf-4c1c-9797-d4da4f7d804e,IMPORT_WORKFLOWS,failed,,"{""ok"": false, ""error"": ""Command failed: docker exec n8n n8n import:workflow --input=/tmp/lead-flow-n8n-workflows/bethania-add-note-confirm.json\n""}","Command failed: docker exec n8n n8n import:workflow --input=/tmp/lead-flow-n8n-workflows/bethania-add-note-confirm.json
",f88f2b3b-3f45-4170-83e1-4e7999d2c012,2026-07-21 23:39:55.009+00,2026-07-21 23:39:58.93+00,2026-07-21 23:39:54.996+00,2026-07-21 23:39:58.932+00
d75e168f-3500-4371-bdbc-0cc2e4ba83f5,IMPORT_WORKFLOWS,failed,,"{""ok"": false, ""error"": ""Command failed: docker exec n8n n8n import:workflow --input=/tmp/lead-flow-n8n-workflows/bethania-add-note-confirm.json\n""}","Command failed: docker exec n8n n8n import:workflow --input=/tmp/lead-flow-n8n-workflows/bethania-add-note-confirm.json
",f88f2b3b-3f45-4170-83e1-4e7999d2c012,2026-07-21 23:40:15.534+00,2026-07-21 23:40:19.293+00,2026-07-21 23:40:15.523+00,2026-07-21 23:40:19.294+00
d7122dca-fb14-4ab0-82cc-29cf4d328d1d,APPLY_ENV,succeeded,"{""n8nKeys"": [""LEAD_FLOW_API_BASE_URL"", ""N8N_WEBHOOK_BASE_URL"", ""BACKOFFICE_STUDIO_BOT_WEBHOOK_SECRET"", ""EVO_API_BASE_URL"", ""EVO_API_KEY"", ""EVO_BETHANIA_INSTANCE"", ""BACKOFFICE_BETHANIA_WHATSAPP_NUMBER"", ""N8N_BLOCK_ENV_ACCESS_IN_NODE"", ""NODE_FUNCTION_ALLOW_BUILTIN"", ""N8N_RUNNERS_ENABLED"", ""BETHANIA_SLACK_WEBHOOK_URL""], ""evolutionKeys"": [""AUTHENTICATION_API_KEY"", ""CONFIG_SESSION_PHONE_VERSION""]}","{""ok"": true, ""compose"": {""stderr"": ""Container evolution_redis Running \n Container n8n_postgres Running \n Container evolution_api Recreate \n Container n8n Recreate \n Container n8n Recreated \n Container evolution_api Recreated \n Container n8n_postgres Waiting \n Container evolution_api Starting \n Container evolution_api Started \n Container n8n_postgres Healthy \n Container n8n Starting \n Container n8n Started"", ""stdout"": """"}, ""n8nKeys"": [""LEAD_FLOW_API_BASE_URL"", ""N8N_WEBHOOK_BASE_URL"", ""BACKOFFICE_STUDIO_BOT_WEBHOOK_SECRET"", ""EVO_API_BASE_URL"", ""EVO_API_KEY"", ""EVO_BETHANIA_INSTANCE"", ""BACKOFFICE_BETHANIA_WHATSAPP_NUMBER"", ""N8N_BLOCK_ENV_ACCESS_IN_NODE"", ""NODE_FUNCTION_ALLOW_BUILTIN"", ""N8N_RUNNERS_ENABLED"", ""BETHANIA_SLACK_WEBHOOK_URL""], ""evolutionKeys"": [""AUTHENTICATION_API_KEY"", ""CONFIG_SESSION_PHONE_VERSION""]}",,f88f2b3b-3f45-4170-83e1-4e7999d2c012,2026-07-21 23:33:15.305+00,2026-07-21 23:33:18.991+00,2026-07-21 23:33:15.29+00,2026-07-21 23:33:18.992+00
9dec857e-9fde-4367-8db9-9e5643c025fd,RESTART_SERVICE,succeeded,"{""service"": ""n8n""}","{""ok"": true, ""result"": {""stderr"": ""Container n8n Restarting \n Container n8n Started"", ""stdout"": """"}}",,f88f2b3b-3f45-4170-83e1-4e7999d2c012,2026-07-21 23:33:41.08+00,2026-07-21 23:33:41.958+00,2026-07-21 23:33:41.054+00,2026-07-21 23:33:41.959+00
8dec90cd-5ec3-4313-9b18-f6de561253e3,RESTART_SERVICE,succeeded,"{""service"": ""api""}","{""ok"": true, ""result"": {""stderr"": ""Container evolution_api Restarting \n Container evolution_api Started"", ""stdout"": """"}}",,f88f2b3b-3f45-4170-83e1-4e7999d2c012,2026-07-21 23:33:58.003+00,2026-07-21 23:33:59.196+00,2026-07-21 23:33:57.99+00,2026-07-21 23:33:59.198+00
