id,idempotencyKey,status,createdAt,updatedAt
cc893c2d-1505-4d3b-8118-baf78a5f947a,lead-status:e448cfdc-3b90-4d16-92c0-68d522282946:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981008,completed,2026-07-20 19:05:50.312+00,2026-07-20 19:05:50.508+00
2dc063a2-7af0-416b-a72e-1165b5ab2f63,meeting-reminder-30m:aaae0ca8-7037-4dcf-a091-ad50a767fedd:0c96a57e-6cc1-400f-bf3a-5740b699ac21,completed,2026-07-20 19:05:50.576+00,2026-07-20 19:05:50.665+00
354f22f9-0201-4386-bfb4-5ea03becf5b8,lead-status:e954711e-3d88-4651-a207-06faad619e0b:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981009,completed,2026-07-20 19:05:50.713+00,2026-07-20 19:05:50.787+00
5223795b-eb51-47c2-8380-b8cef6aeee43,meeting-reminder-5m:aaae0ca8-7037-4dcf-a091-ad50a767fedd:0c96a57e-6cc1-400f-bf3a-5740b699ac21,completed,2026-07-20 19:05:50.832+00,2026-07-20 19:05:50.906+00
5ec63b77-411a-4df7-807f-74962bfac83a,meeting-reminder-30m:c463d54d-34fa-43e9-8b48-b2d03f4c345e:0c96a57e-6cc1-400f-bf3a-5740b699ac21,completed,2026-07-20 19:05:50.951+00,2026-07-20 19:05:51.022+00
bf91422b-28e9-43b8-a025-adef362bbf61,meeting-reminder-30m:97a0e1d8-bd4b-4731-b828-d0074a7b0809:0c96a57e-6cc1-400f-bf3a-5740b699ac21,completed,2026-07-20 19:05:51.068+00,2026-07-20 19:05:51.142+00
3c6550a3-a55b-43d1-b686-c8a479fb18a5,lead-assigned:b7ef3185-e18e-493e-ba20-1a158a9bb469:c7bf5dd7-bb6b-4135-845a-74e9481616c3,completed,2026-07-20 19:05:51.185+00,2026-07-20 19:05:51.274+00
12478acd-09aa-4d5c-ae9e-8f6715d1f1b3,lead-status:59f4c651-6d06-445f-9e79-121c7fd14dd3:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981012,completed,2026-07-20 19:05:51.321+00,2026-07-20 19:05:51.394+00
7a373441-df02-4cc2-8e19-a2500eeb3988,lead-status:93614566-b66b-4b5f-8a77-5dd7271b5d66:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981012,completed,2026-07-20 19:05:51.447+00,2026-07-20 19:05:51.518+00
f4a96173-99d7-4c75-8701-48546afdd712,lead-status:b7ef3185-e18e-493e-ba20-1a158a9bb469:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981012,completed,2026-07-20 19:05:51.564+00,2026-07-20 19:05:51.635+00
7c03e049-5b09-4ca1-ba2c-1819bbaef8cc,lead-status:b7ef3185-e18e-493e-ba20-1a158a9bb469:c7bf5dd7-bb6b-4135-845a-74e9481616c3:1981012,completed,2026-07-20 19:05:51.681+00,2026-07-20 19:05:51.75+00
1888e9a2-a754-442c-b907-18dfd53e1232,meeting-reminder-5m:c463d54d-34fa-43e9-8b48-b2d03f4c345e:0c96a57e-6cc1-400f-bf3a-5740b699ac21,completed,2026-07-20 19:05:51.794+00,2026-07-20 19:05:51.864+00
dcac9d7c-b195-4dfa-98ec-db3bab740ce8,meeting-reminder-5m:97a0e1d8-bd4b-4731-b828-d0074a7b0809:0c96a57e-6cc1-400f-bf3a-5740b699ac21,completed,2026-07-20 19:05:51.912+00,2026-07-20 19:05:51.989+00
6cff3628-4557-4bd6-92f5-5908d41721c5,meeting-reminder-30m:cde2451d-231c-45eb-a575-ea7292857abd:0c96a57e-6cc1-400f-bf3a-5740b699ac21,completed,2026-07-20 19:05:52.104+00,2026-07-20 19:05:52.175+00
0668e671-9180-4196-aa14-2452f4a66f06,lead-status:e02bd93a-c3a3-49bd-8327-c49c0b6874d2:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981014,completed,2026-07-20 19:05:52.27+00,2026-07-20 19:05:52.356+00
ccaab4c1-3dd8-4d17-a4ce-d482281b4384,meeting-reminder-5m:cde2451d-231c-45eb-a575-ea7292857abd:0c96a57e-6cc1-400f-bf3a-5740b699ac21,completed,2026-07-20 19:05:52.401+00,2026-07-20 19:05:52.474+00
fee0be8b-9483-4915-a7f4-091c511a87a1,lead-assigned:40f7ffaa-eb6a-4846-8fb1-d3e9de2d8e8b:1342b17d-f465-4fa8-a88f-2d4c62282bdc,completed,2026-07-20 19:05:52.516+00,2026-07-20 19:05:52.596+00
b2e91ae3-aa00-41da-bab3-69676a9c3477,lead-status:04be6bb3-6377-4784-99d7-a1692394e637:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981015,completed,2026-07-20 19:05:52.639+00,2026-07-20 19:05:52.74+00
4e87cffb-c69f-4d92-ac65-67f6248e3494,lead-status:40f7ffaa-eb6a-4846-8fb1-d3e9de2d8e8b:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981015,completed,2026-07-20 19:05:52.822+00,2026-07-20 19:05:52.907+00
1487e62d-6946-487d-950e-ec54b3ab56f6,lead-status:40f7ffaa-eb6a-4846-8fb1-d3e9de2d8e8b:1342b17d-f465-4fa8-a88f-2d4c62282bdc:1981015,completed,2026-07-20 19:05:52.954+00,2026-07-20 19:05:53.059+00
790dc93f-7940-4aae-b864-1f72130646a0,lead-status:8a06b774-ad5f-433f-bd19-f3a54e2705ac:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981015,completed,2026-07-20 19:05:53.165+00,2026-07-20 19:05:53.238+00
cf69f8de-f24e-4912-a72b-0aaeb715d779,lead-status:e74c223f-bb5b-458b-969a-a42ea48e961c:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981015,completed,2026-07-20 19:05:53.29+00,2026-07-20 19:05:53.361+00
7a32c7f3-4af9-4058-984d-594d408c6aca,lead-status:24408ee4-6ec9-4a35-b5be-488e4911a5e0:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981017,completed,2026-07-20 19:05:53.403+00,2026-07-20 19:05:53.472+00
5f843573-a95e-4d65-943c-eeafe1d16642,lead-status:6ab8da8b-d815-47d4-9fb8-9d098abffbf6:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981017,completed,2026-07-20 19:05:53.524+00,2026-07-20 19:05:53.593+00
1f769249-1d81-48be-aceb-93db7f8b0dd5,lead-status:89b5bf59-e262-405c-99d7-46ddd6599d90:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981017,completed,2026-07-20 19:05:53.638+00,2026-07-20 19:05:53.709+00
f1846b58-22b4-420c-9f92-f9f1c0b8cae0,lead-status:e6293e7b-d161-4651-a053-45e4a7228d66:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981017,completed,2026-07-20 19:05:53.754+00,2026-07-20 19:05:53.826+00
60c5db0d-51ee-46f1-acdf-8d50fae8ca1b,lead-status:f35e408b-d94b-4639-aa1d-06316b5a0468:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981017,completed,2026-07-20 19:05:53.869+00,2026-07-20 19:05:53.943+00
