id,dispatchId,type,occurredAt,metadata,createdAt
4fa1da68-100e-4593-9ea3-9446dc7c86d8,4073ec16-03ba-4744-b69f-5dd6f47f0b81,clicked,2026-07-01 11:02:37.061+00,"{""link"": ""https://www.corretorstudio.com/36c72339-dc38-4738-914d-3f5dac6485ba/board"", ""svixId"": ""msg_3FuFQPypnwyLDUd6V4ciHNxCZ7H"", ""ipAddress"": ""2804:7f0:bd80:917f:2551:8251:f361:3a00"", ""userAgent"": ""Amazon CloudFront""}",2026-07-01 15:09:16.891+00
41ea14f2-1656-4319-a1d6-c6396b7bc9af,01c68a16-efec-4187-b87b-e7a2f29c1686,opened,2026-07-01 11:03:34.333+00,"{""svixId"": ""msg_3FuNcSv3Ylpg2xWEqOlfS8GnhUN""}",2026-07-01 15:51:16.028+00
867ab698-4f35-4af3-871c-0bb83219da53,20efd517-c04f-4678-b0d9-1ce9b4579ce7,opened,2026-07-01 11:01:43.057+00,"{""svixId"": ""msg_3FuOpUPdsfDBKMhkObK23qDSuWl""}",2026-07-01 16:01:13.103+00
28899beb-3716-436f-affe-524a3a137fc7,bb76ffa6-e589-4f3d-95ab-7557212332c3,opened,2026-07-01 11:02:47.041+00,"{""svixId"": ""msg_3FunnTuNNiBwx3bUPHFK2QEc9j5""}",2026-07-01 19:26:32.513+00
3211315c-af7c-4ecc-aa14-996fc2563822,bb76ffa6-e589-4f3d-95ab-7557212332c3,clicked,2026-07-01 11:02:47.041+00,"{""link"": ""https://www.corretorstudio.com/09e4665f-e940-4603-88c7-f3d0d3e6ce77/board"", ""svixId"": ""msg_3FunnsrrphQjrSy5oYwuHY635dn"", ""ipAddress"": ""2804:14c:220:818b:4821:2868:39cd:b3ab"", ""userAgent"": ""Amazon CloudFront""}",2026-07-01 19:26:35.194+00
e20840f0-796c-4c65-bae0-57724fac4fc4,51846270-930f-4489-b7df-fa446f8ee625,sent,2026-07-02 11:00:12.235+00,"{""svixId"": ""msg_3FwdMmiKIvLwv1LfHbYzmxRizdf""}",2026-07-02 11:00:23.417+00
3cde9e87-3af0-4157-9617-78e627d7abed,51846270-930f-4489-b7df-fa446f8ee625,delivered,2026-07-02 11:00:12.235+00,"{""svixId"": ""msg_3FwdNdmN6JUeVHYQMAqAnAXxZDL""}",2026-07-02 11:00:30.053+00
c773093b-7a69-4ba5-a5ac-bbd8603704f6,c30f5d41-db51-4f5c-8be0-18f0cb49973e,sent,2026-07-02 11:00:17.409+00,"{""svixId"": ""msg_3FwdOIK0RwUBNN893d1PdBSDHdH""}",2026-07-02 11:00:35.206+00
4e7ab119-250a-42b6-b5ca-57427750c2a8,c07fd6c8-2970-4774-939d-75ef949a9b05,sent,2026-07-02 11:00:18.811+00,"{""svixId"": ""msg_3FwdOU94QYNoUWpKrlRLwa2KE7L""}",2026-07-02 11:00:36.753+00
4a59becf-ba03-4ec6-90fb-cc47a3b8094f,c07fd6c8-2970-4774-939d-75ef949a9b05,delivered,2026-07-02 11:00:18.811+00,"{""svixId"": ""msg_3FwdOX9oNWDau2rdMFoAlfTzlNf""}",2026-07-02 11:00:36.987+00
da006b26-eacf-4075-88a3-b0ff8648ca01,531b833f-43d5-4d30-87f7-299d200959ec,delivered,2026-07-02 11:00:23.655+00,"{""svixId"": ""msg_3FwdP1a5jbbHXYx6xywKqBr1oUB""}",2026-07-02 11:00:41.08+00
f9069a18-8d13-4e8b-bcb9-c98dc4b82b42,531b833f-43d5-4d30-87f7-299d200959ec,sent,2026-07-02 11:00:23.655+00,"{""svixId"": ""msg_3FwdP2PjWb0gG9GkVviMBXZgmiN""}",2026-07-02 11:00:41.277+00
444f7256-caa7-468e-9d61-f81d2f8deb29,22130eac-f539-40cf-9a3a-375ab0e327bd,sent,2026-07-02 11:00:29.081+00,"{""svixId"": ""msg_3FwdPN1TkvbgvKPTphNrrcb4tKR""}",2026-07-02 11:00:43.764+00
5290f46f-6067-4f51-bc3d-29d0cd0bf237,b696ac88-a724-44ff-8f33-a5e27c449a88,delivered,2026-07-02 11:00:34.031+00,"{""svixId"": ""msg_3FwdPvVye5XlAamPp6qZtK4dA0F""}",2026-07-02 11:00:48.213+00
a5bee324-71e5-4097-baac-2542c849d2d8,b696ac88-a724-44ff-8f33-a5e27c449a88,sent,2026-07-02 11:00:34.031+00,"{""svixId"": ""msg_3FwdPw1T43dF4iKqt7Q0ezyAo5n""}",2026-07-02 11:00:48.333+00
f2dd2f4a-d14d-461c-98f2-1d04628db6eb,c30f5d41-db51-4f5c-8be0-18f0cb49973e,delivered,2026-07-02 11:00:17.409+00,"{""svixId"": ""msg_3FwdPy1NQ3StcFACzq7dv7WlKsp""}",2026-07-02 11:00:48.641+00
a167d6a7-0271-4a59-8a98-d390cfeb98c8,22130eac-f539-40cf-9a3a-375ab0e327bd,delivered,2026-07-02 11:00:29.081+00,"{""svixId"": ""msg_3FwdQ0CS1UQbAfmpjujvvyUPOYB""}",2026-07-02 11:00:49.376+00
9ff8010c-8f9e-461f-af1c-e4a6edf2fe0f,5a59405c-9ead-43a3-ba5d-c5eba4709df8,delivered,2026-07-02 11:00:35.321+00,"{""svixId"": ""msg_3FwdQ2ApL4izZM7hkttyciswfeR""}",2026-07-02 11:00:49.586+00
2ed3b7f4-974a-410c-859e-36c7e6e9c966,5a59405c-9ead-43a3-ba5d-c5eba4709df8,sent,2026-07-02 11:00:35.321+00,"{""svixId"": ""msg_3FwdQeWS4ldvmWFuryr4yl0ffhP""}",2026-07-02 11:00:54.022+00
