id,featureId,principal,accessLevel,createdAt,updatedAt
e313cce5-e3d2-4366-bf6a-f6256baebcc4,946bb1d9-342c-4b54-a223-0d8eb8b7e0ef,MASTER,FULL,2026-07-02 11:25:22.904+00,2026-07-02 11:25:22.904+00
f6578790-5309-4419-9be9-b1ddf8ec0fe2,946bb1d9-342c-4b54-a223-0d8eb8b7e0ef,MANAGER,FULL,2026-07-02 11:25:22.904+00,2026-07-02 11:25:22.904+00
28924685-fbfb-4545-939c-98294e384c48,946bb1d9-342c-4b54-a223-0d8eb8b7e0ef,BACKOFFICE,NONE,2026-07-02 11:25:22.904+00,2026-07-02 11:25:22.904+00
b4e7ad09-68a3-4a57-8ac2-7d2c11d67e3d,946bb1d9-342c-4b54-a223-0d8eb8b7e0ef,OPERATOR,NONE,2026-07-02 11:25:22.904+00,2026-07-02 11:25:22.904+00
8b281e89-d952-4358-8bc7-5167a22df0cb,946bb1d9-342c-4b54-a223-0d8eb8b7e0ef,SDR,NONE,2026-07-02 11:25:22.904+00,2026-07-02 11:25:22.904+00
54b3bd74-d455-497e-b3f2-fc1c027c7c7a,946bb1d9-342c-4b54-a223-0d8eb8b7e0ef,CLOSER,NONE,2026-07-02 11:25:22.904+00,2026-07-02 11:25:22.904+00
e64caeb2-9513-40bc-b46d-cd7aefe9c11a,946bb1d9-342c-4b54-a223-0d8eb8b7e0ef,CAN_MANAGE_TEAMS,NONE,2026-07-02 11:25:22.904+00,2026-07-02 11:25:22.904+00
94fe3ea2-1f80-4484-bbe7-eed1672abee8,946bb1d9-342c-4b54-a223-0d8eb8b7e0ef,CAN_CREATE_USERS,NONE,2026-07-02 11:25:22.904+00,2026-07-02 11:25:22.904+00
d36d5054-d8b7-48b2-94d7-db34268857cf,29bda270-be80-40bb-aa9f-69a6cd5bc73b,MASTER,FULL,2026-07-09 12:50:51.899+00,2026-07-09 12:50:51.899+00
92abfff1-7f71-40a0-834f-bee15dbc20a9,29bda270-be80-40bb-aa9f-69a6cd5bc73b,MANAGER,FULL,2026-07-09 12:50:51.899+00,2026-07-09 12:50:51.899+00
0decea76-0f95-4970-bd2d-4089d768cf7b,29bda270-be80-40bb-aa9f-69a6cd5bc73b,BACKOFFICE,FULL,2026-07-09 12:50:51.899+00,2026-07-09 12:50:51.899+00
1e3cd66f-19b6-49f5-ac3c-c96d9ee51aa8,29bda270-be80-40bb-aa9f-69a6cd5bc73b,OPERATOR,NONE,2026-07-09 12:50:51.899+00,2026-07-09 12:50:51.899+00
0a8a5df2-8b9a-453d-a481-64cc72d0ffc9,29bda270-be80-40bb-aa9f-69a6cd5bc73b,SDR,NONE,2026-07-09 12:50:51.899+00,2026-07-09 12:50:51.899+00
f7dca565-eb27-4f43-9e20-8f9e9ab37d84,29bda270-be80-40bb-aa9f-69a6cd5bc73b,CLOSER,NONE,2026-07-09 12:50:51.899+00,2026-07-09 12:50:51.899+00
9d361faf-ab06-4d8a-b8fa-d073d13c03fa,29bda270-be80-40bb-aa9f-69a6cd5bc73b,CAN_MANAGE_TEAMS,NONE,2026-07-09 12:50:51.899+00,2026-07-09 12:50:51.899+00
8771da7e-48a9-43eb-a7a8-59f75ea84126,29bda270-be80-40bb-aa9f-69a6cd5bc73b,CAN_CREATE_USERS,NONE,2026-07-09 12:50:51.899+00,2026-07-09 12:50:51.899+00
437d8c90-57f9-4388-aafa-8840e13b68b3,ef96d4b6-2a7a-4a2a-a9c8-abc6c59dda1d,SDR,FULL,2026-06-26 23:03:12.691+00,2026-06-29 02:27:25.80546+00
3ba92c00-d31c-41ca-8fd6-6e8057cb682d,6a6b2b58-1028-45c2-88a8-892036ad88d5,MASTER,FULL,2026-07-17 23:27:59.221241+00,2026-07-17 23:27:59.221241+00
a953589c-edd0-4ba8-b8e7-cfa595f55c20,6a6b2b58-1028-45c2-88a8-892036ad88d5,MANAGER,FULL,2026-07-17 23:27:59.221241+00,2026-07-17 23:27:59.221241+00
