id,featureId,profileId,grantType,accessLevel,isActive,createdAt,updatedAt,betaTeamScope
87868741-22a3-425b-a384-4a3dda17d7e7,db89daa0-0db9-4dd8-ac05-ffb2c30b7d0c,ed586056-17ca-4287-936a-c16e642c63a6,BETA,FULL,f,2026-05-13 02:10:40.326+00,2026-05-13 18:13:54.407+00,ALL_TEAMS
9958ba48-a8a0-4808-b424-f318f909ea1c,dc69c99f-615e-48ab-96f6-c801c25c1348,8474aaf6-e7d1-4165-9bef-bf76bc701038,BETA,FULL,t,2026-05-13 03:20:02.849+00,2026-05-13 03:20:02.849+00,ALL_TEAMS
b6829952-3b25-4b96-8db6-d07b14405490,dc69c99f-615e-48ab-96f6-c801c25c1348,b0737bfd-7bea-493b-8cfc-14946fcea8cd,BETA,FULL,f,2026-05-13 03:20:06.395+00,2026-05-22 17:46:45.019+00,ALL_TEAMS
ba6bbffa-7f9f-4197-9355-32810bf634d8,db89daa0-0db9-4dd8-ac05-ffb2c30b7d0c,b0737bfd-7bea-493b-8cfc-14946fcea8cd,BETA,FULL,f,2026-05-13 02:55:11.301+00,2026-05-22 17:46:38.815+00,ALL_TEAMS
f9fd5b9c-bfb4-4555-af70-b5d838b87826,dc69c99f-615e-48ab-96f6-c801c25c1348,ed586056-17ca-4287-936a-c16e642c63a6,BETA,FULL,t,2026-05-13 03:20:04.175+00,2026-05-13 03:20:04.175+00,ALL_TEAMS
fe39d0ba-0767-4ee9-9874-9894c4e393e2,db89daa0-0db9-4dd8-ac05-ffb2c30b7d0c,8474aaf6-e7d1-4165-9bef-bf76bc701038,BETA,FULL,t,2026-05-13 02:42:43.519+00,2026-05-13 02:49:05.829+00,ALL_TEAMS
7f21bf6e-f568-4a6c-90a1-38f9dc7e6900,dc69c99f-615e-48ab-96f6-c801c25c1348,4ad3299c-00b4-4007-b979-c5e65113f551,BETA,FULL,t,2026-05-29 19:18:21.821+00,2026-05-29 19:18:21.821+00,ALL_TEAMS
af552365-7e56-4e9a-b196-ced4da6902d6,1b90138d-00ca-4338-8530-c528cd9f0c4e,8474aaf6-e7d1-4165-9bef-bf76bc701038,BETA,FULL,t,2026-06-23 00:01:27.9+00,2026-06-23 00:01:27.9+00,ALL_TEAMS
7fb89227-157d-4cfc-b370-23673cf4ce2a,1b90138d-00ca-4338-8530-c528cd9f0c4e,ed586056-17ca-4287-936a-c16e642c63a6,BETA,FULL,t,2026-06-23 00:01:29.06+00,2026-06-23 00:01:29.06+00,ALL_TEAMS
75061b96-b98e-4967-9240-acc34a2d89fe,dc69c99f-615e-48ab-96f6-c801c25c1348,df71451b-bcd2-4602-9b7b-230b32f08b65,BETA,FULL,t,2026-06-25 21:18:50.286+00,2026-06-25 21:18:50.286+00,ALL_TEAMS
4b7c9b99-d179-4d78-9ce1-801b75129c3c,dc69c99f-615e-48ab-96f6-c801c25c1348,28e539ff-294f-4965-abb8-a1abfa17a076,BETA,FULL,f,2026-06-25 21:21:55.695+00,2026-06-25 21:48:29.493+00,ALL_TEAMS
ecb1839a-81a5-48c0-9ea2-55ec56280574,dc69c99f-615e-48ab-96f6-c801c25c1348,fd08f054-017a-4a75-8bd4-0034c582774d,BETA,FULL,t,2026-06-26 01:50:07.804+00,2026-06-26 01:50:07.804+00,ALL_TEAMS
5653cbce-4e19-44e6-ab89-9151be784d44,db89daa0-0db9-4dd8-ac05-ffb2c30b7d0c,0ae36a43-2ef0-4a7d-b95a-edcc7d9ac3f2,BETA,FULL,f,2026-05-13 02:55:21.418+00,2026-06-29 02:27:24.107735+00,ALL_TEAMS
6117367a-4b48-49fe-8a10-a1a0f23c8686,dc69c99f-615e-48ab-96f6-c801c25c1348,0ae36a43-2ef0-4a7d-b95a-edcc7d9ac3f2,BETA,FULL,f,2026-05-13 03:20:13.443+00,2026-06-29 02:27:24.107735+00,ALL_TEAMS
20c0d12c-a631-4339-9a7e-cb0360f63bca,dc69c99f-615e-48ab-96f6-c801c25c1348,62a2569e-4be2-4326-bddd-3c6116ed18b0,BETA,FULL,f,2026-05-26 02:48:55.961+00,2026-06-29 02:27:24.107735+00,ALL_TEAMS
cd3b2128-aa48-4dbf-9225-f70967171a78,dc69c99f-615e-48ab-96f6-c801c25c1348,d97f16a7-e2f6-4194-9425-f82d793e73ce,BETA,FULL,f,2026-05-26 02:49:07.454+00,2026-06-29 02:27:24.107735+00,ALL_TEAMS
6530197c-417a-405f-838a-4001d62b5edc,dc69c99f-615e-48ab-96f6-c801c25c1348,fd63bafa-9a78-43fb-9311-f78b8cbfb667,BETA,FULL,f,2026-05-26 02:48:44.454+00,2026-06-29 02:27:24.107735+00,ALL_TEAMS
7d141fb7-31c5-473d-9c77-1b29d4b30318,db89daa0-0db9-4dd8-ac05-ffb2c30b7d0c,0c96a57e-6cc1-400f-bf3a-5740b699ac21,BETA,FULL,t,2026-05-13 02:55:18.8+00,2026-06-29 05:16:23.389+00,SPECIFIC_TEAMS
