id,slug,name,description,parentId,productSlug,accessMode,defaultAccessLevel,betaEnabled,inheritParentSettings,isActive,sortOrder,createdAt,updatedAt,billedSeparately
b8d0a7b2-c97a-4e75-b987-b144deb1473b,studio-bot,Bethânia,,,crm,ADDON,FULL,f,f,t,180,2026-07-01 05:05:54.759617+00,2026-07-01 05:05:54.759617+00,f
1f5e4faf-91c7-4cec-a68d-7ac4f583b889,email-settings,Configurações,,db89daa0-0db9-4dd8-ac05-ffb2c30b7d0c,email,ADDON,FULL,f,f,t,160,2026-06-03 19:37:03.275+00,2026-06-29 02:46:44.470671+00,t
c1156247-3e04-44ac-8cde-518649a63d4c,crm-lead-transfers,Transferências,,90640650-f64a-4a51-b961-c546ea159797,crm,PAID,FULL,f,f,t,35,2026-06-26 23:03:08.932+00,2026-06-29 02:46:44.470671+00,t
9b56a88c-181e-46ed-9d22-94404e74a298,email-analytics,Métricas,,db89daa0-0db9-4dd8-ac05-ffb2c30b7d0c,email,ADDON,FULL,f,t,t,150,2026-05-13 02:39:37.445539+00,2026-07-01 05:07:19.071955+00,f
90640650-f64a-4a51-b961-c546ea159797,crm,CRM,,,crm,PAID,FULL,f,f,t,10,2026-05-13 02:00:41.547062+00,2026-06-26 23:03:08.832+00,f
946bb1d9-342c-4b54-a223-0d8eb8b7e0ef,whatsapp-auto-responses,Auto-respostas,,1b90138d-00ca-4338-8530-c528cd9f0c4e,whatsapp,ADDON,FULL,f,f,f,172,2026-06-26 23:03:09.698+00,2026-07-02 11:25:21.825+00,t
56d21c5a-9efa-4048-b2b9-1e936c870e37,crm-time,Time,,90640650-f64a-4a51-b961-c546ea159797,crm,PAID,FULL,f,t,t,70,2026-05-13 02:00:41.547062+00,2026-06-29 02:27:24.477772+00,f
29bda270-be80-40bb-aa9f-69a6cd5bc73b,crm-automations,Automações,,90640650-f64a-4a51-b961-c546ea159797,crm,PAID,FULL,f,f,f,96,2026-07-07 15:11:02.423083+00,2026-07-09 12:50:51.83+00,f
6a6b2b58-1028-45c2-88a8-892036ad88d5,email-unsubscribe,Descadastro,,db89daa0-0db9-4dd8-ac05-ffb2c30b7d0c,email,ADDON,FULL,f,f,t,155,2026-07-17 23:27:59.221241+00,2026-07-17 23:27:59.221241+00,f
db89daa0-0db9-4dd8-ac05-ffb2c30b7d0c,email,Email,,,email,ADDON,FULL,t,f,t,100,2026-05-13 02:00:41.547062+00,2026-06-26 23:03:09.314+00,f
8d8918c8-0b49-494b-9914-11d9e5555f61,studio-bot-ops,Ops / Host,,b8d0a7b2-c97a-4e75-b987-b144deb1473b,crm,ADDON,FULL,f,f,t,186,2026-07-18 21:07:39.118178+00,2026-07-18 21:07:39.118178+00,f
7b67027c-5be3-4ec3-81c3-11ce51477b3e,studio-bot-ai,IA,,b8d0a7b2-c97a-4e75-b987-b144deb1473b,crm,ADDON,FULL,t,f,t,187,2026-07-20 14:43:08.328884+00,2026-07-20 14:43:08.328884+00,f
