id,slug,name,gateType,sourceStatus,targetStatus,config,blockerType,errorMessage,isEnabled,sortOrder,updatedByProfileId,createdAt,updatedAt
ef26d274-c563-4ecf-bcbd-fecb29f7f5d4,scheduled_block_revert_when_meeting_held,Agendado: bloquear retorno com reunião realizada,block_targets_when_field_equals,scheduled,,"{""field"": ""meetingHeald"", ""equals"": ""yes"", ""blockedTargetStatuses"": [""new_opportunity"", ""no_show""]}",validation_error,Lead com reunião realizada não pode voltar para Nova oportunidade ou No-show.,t,20,0c96a57e-6cc1-400f-bf3a-5740b699ac21,2026-06-29 02:27:26.131498+00,2026-06-29 02:27:26.131498+00
faf9c870-6e1c-4377-9e28-7634c7a8cf52,offer_negotiation_require_sales_info,Negociação: exigir dados de venda,require_sales_info,offerNegotiation,,"{""targetStatuses"": [""pending_documents"", ""offerSubmission"", ""dps_agreement"", ""invoicePayment"", ""contract_finalized""]}",sales_info,"Preencha ticket, data de vigência e plano vendido para continuar a mudança de status.",t,30,0c96a57e-6cc1-400f-bf3a-5740b699ac21,2026-06-29 02:27:26.131498+00,2026-06-29 02:27:26.131498+00
e8f4951a-80d3-4241-8dd3-55313a577eb4,offer_submission_require_finalize_contract,Proposta: exigir contrato finalizado,require_finalize_contract,offerSubmission,,"{""targetStatuses"": [""invoicePayment"", ""contract_finalized""]}",finalize_contract,"Para mover de Proposta para este status, você precisa finalizar o contrato!",t,40,0c96a57e-6cc1-400f-bf3a-5740b699ac21,2026-06-29 02:27:26.131498+00,2026-06-29 02:27:26.131498+00
994c1c46-387a-484c-a444-ee2d6f3f64e8,no_show_preconditions,No-show: pré-condições de agendamento,require_no_show_preconditions,,no_show,{},validation_error,,t,50,0c96a57e-6cc1-400f-bf3a-5740b699ac21,2026-06-29 02:27:26.131498+00,2026-06-29 02:27:26.131498+00
2b6cfd2e-a73b-4dcd-8fcd-975d37a8f139,scheduled_require_meeting_heald_on_exit,Agendado: confirmar reunião ao sair,require_meeting_heald_on_exit,scheduled,,"{""exemptTargetStatuses"": [""scheduled"", ""no_show"", ""new_opportunity""]}",meeting_heald,Reunião não marcada como realizada. Somente o master ou o closer do lead pode confirmar.,t,60,0c96a57e-6cc1-400f-bf3a-5740b699ac21,2026-06-29 02:27:26.131498+00,2026-06-29 02:27:26.131498+00
5eb4b8e7-7677-4fc0-888e-dddaf3fa3556,scheduled_require_schedule_artifacts,Agendado: exigir agendamento válido,require_schedule_artifacts,,scheduled,{},schedule_required,Lead precisa de um agendamento válido antes de mudar para Agendado. Use o fluxo de agendamento.,t,70,0c96a57e-6cc1-400f-bf3a-5740b699ac21,2026-06-29 02:27:26.131498+00,2026-06-29 02:27:26.131498+00
8ad75209-7149-4ef4-8a03-18cfdbd98b16,scheduled_online_require_email,Agendado online: exigir e-mail,require_email_for_online_schedule,,scheduled,{},email_required,Lead precisa de um email para agendamento online. Preencha o email do lead antes de agendar.,t,75,0c96a57e-6cc1-400f-bf3a-5740b699ac21,2026-06-29 02:27:26.131498+00,2026-06-29 02:27:26.131498+00
4ddb4ce4-9f53-46c7-9d1e-cef56bf36354,future_sale_require_trigger,Venda futura: exigir data de retorno,require_trigger_future_sale,,future_sale,{},future_sale_trigger,Venda Futura exige data válida para entrar em contato.,t,80,0c96a57e-6cc1-400f-bf3a-5740b699ac21,2026-06-29 02:27:26.131498+00,2026-06-29 02:27:26.131498+00
55010fc7-8629-4778-845d-f2689bc074bb,opportunity_lost_require_trigger,Perdido: exigir motivo,require_trigger_loss_reason,,opportunityLost,{},loss_reason_trigger,Informe o motivo para concluir a mudança de status.,t,90,0c96a57e-6cc1-400f-bf3a-5740b699ac21,2026-06-29 02:27:26.131498+00,2026-06-29 02:27:26.131498+00
63b67050-1933-4372-a3ca-78900568332b,operator_denied_require_trigger,Negado operadora: exigir motivo,require_trigger_loss_reason,,operator_denied,{},loss_reason_trigger,Informe o motivo para concluir a mudança de status.,t,100,0c96a57e-6cc1-400f-bf3a-5740b699ac21,2026-06-29 02:27:26.131498+00,2026-06-29 02:27:26.131498+00
95347f1c-4056-4f16-96cf-3e54a56a1914,contract_finalized_require_flow,Negócio fechado: usar fluxo de finalização,require_finalize_contract_flow,,contract_finalized,"{""validateModeOnly"": true}",finalize_contract,"Para concluir como Negócio fechado, use o fluxo de fechamento de contrato.",t,5,0c96a57e-6cc1-400f-bf3a-5740b699ac21,2026-06-29 02:27:26.131498+00,2026-06-29 02:27:26.131498+00
813ecaef-40dc-4098-8b21-72472b3fa5c3,offer_submission_require_closer,Proposta: exigir closer do time,require_closer,,offerSubmission,"{""targetStatuses"": [""offerSubmission""]}",closer_required,Selecione o closer do time para mover para Proposta.,t,35,0c96a57e-6cc1-400f-bf3a-5740b699ac21,2026-06-29 02:46:46.186417+00,2026-06-29 02:46:46.186417+00
78910215-5f07-435a-ac31-beeeeb850d0f,new_opportunity_allowed_targets,Nova oportunidade: destinos permitidos,allowed_target_statuses,new_opportunity,,"{""allowedTargetStatuses"": [""scheduled"", ""future_sale"", ""opportunityLost""]}",validation_error,"De Nova oportunidade, o lead só pode ser movido para Agendado, Venda Futura ou Perdido.",t,10,0c96a57e-6cc1-400f-bf3a-5740b699ac21,2026-06-29 02:27:26.131498+00,2026-07-07 15:11:03.778478+00
