id,profileId,productId,status,cycle,startDate,endDate,adhesionId,createdAt,updatedAt
359f0942-1dd0-414c-a9b7-617f951d75a6,c691c0dd-076e-41fd-984b-ea622fcff1c9,afc702a8-c991-4432-8cca-3e95757f7ca1,active,semiannual,2026-05-07 14:53:30+00,2026-11-07 14:53:30+00,e4e5eb32-8809-4da2-9b13-4ec3b380cbfb,2026-05-07 14:53:38.889+00,2026-05-07 14:53:38.889+00
facdb8c0-3f7c-486b-a477-cebc09971fc6,ed586056-17ca-4287-936a-c16e642c63a6,afc702a8-c991-4432-8cca-3e95757f7ca1,active,semiannual,2026-05-07 14:46:59.529+00,2026-11-07 14:46:59.529+00,f7d4cd98-b346-4460-950f-bca7bfdc68e1,2026-05-07 14:47:08.272+00,2026-05-07 14:47:08.272+00
fcd1ac21-1807-4f83-8f7a-ecc244889c6f,aaa2c2dd-7389-4ddc-8bd7-bb01f9ea4cdd,afc702a8-c991-4432-8cca-3e95757f7ca1,active,semiannual,2026-05-04 17:15:23.633+00,2026-11-04 17:15:23.633+00,5674dc6d-0dcb-4c45-96e0-f1c204dad59a,2026-05-04 17:15:30.94+00,2026-05-04 17:15:30.94+00
38b01bc5-d897-420d-a432-ff462526237a,4ad3299c-00b4-4007-b979-c5e65113f551,afc702a8-c991-4432-8cca-3e95757f7ca1,active,annual,2026-05-27 22:07:28.701+00,2027-05-27 22:07:28.701+00,61b42f48-1c14-428a-b28d-b2064d3ac70e,2026-05-27 22:07:38.12+00,2026-05-27 22:07:38.12+00
98941c86-307a-4220-b3fe-331a3f89fdff,8396bd66-e3ed-4593-b985-3e380cd308eb,afc702a8-c991-4432-8cca-3e95757f7ca1,active,quarterly,2026-06-09 19:44:50.222+00,2026-09-09 19:44:50.222+00,ad1ba8ad-ea8e-452f-bb4e-cbf8473612f9,2026-06-09 19:45:00.721+00,2026-06-09 19:45:00.721+00
ccfc0009-122e-46df-a402-e92ffc66c77b,df71451b-bcd2-4602-9b7b-230b32f08b65,afc702a8-c991-4432-8cca-3e95757f7ca1,active,quarterly,2026-06-09 19:48:30.607+00,2026-09-09 19:48:30.607+00,237569e6-aa8b-4efe-aa33-15a37d1c42dc,2026-06-09 19:48:41.01+00,2026-06-09 19:48:41.01+00
da963859-590d-44dd-90d3-f65facb6a6f1,ad6441cb-f477-404c-8dc4-400fcc9e3a7e,afc702a8-c991-4432-8cca-3e95757f7ca1,active,quarterly,2026-06-09 19:50:43.388+00,2026-09-09 19:50:43.388+00,268803d7-07a5-4704-aaf9-0d95afd6e8e0,2026-06-09 19:50:53.601+00,2026-06-09 19:50:53.601+00
5f16fc37-4a09-4cdc-b7c0-cce5351c6e6d,b6617c09-9b4a-4ebc-bf50-e584b67edaa3,afc702a8-c991-4432-8cca-3e95757f7ca1,active,quarterly,2026-06-09 19:52:31.059+00,2026-09-09 19:52:31.059+00,a23715f2-668d-4d16-b0b1-4c1c3f414ab7,2026-06-09 19:52:42.27+00,2026-06-09 19:52:42.27+00
fa66d4a0-847c-4e8d-b0a3-a807ebed3219,98eaa6c5-8011-4b16-a5b4-2e241632a1ac,afc702a8-c991-4432-8cca-3e95757f7ca1,active,quarterly,2026-06-09 19:54:31.243+00,2026-09-09 19:54:31.243+00,52b79b8f-5ab3-467e-be0f-ead0a542611b,2026-06-09 19:54:41.088+00,2026-06-09 19:54:41.088+00
65ecdaec-b54e-47bf-b372-e4e2d529034e,f8620d77-3229-4b7c-8fde-1f2efd53a0de,afc702a8-c991-4432-8cca-3e95757f7ca1,active,quarterly,2026-06-09 19:57:29.027+00,2026-09-09 19:57:29.027+00,341a1297-7ac8-4cd4-a14b-4ab8d9366dd3,2026-06-09 19:57:39.112+00,2026-06-09 19:57:39.112+00
48ad94e0-5ecf-4653-b2fe-302bbe787f7d,fd08f054-017a-4a75-8bd4-0034c582774d,afc702a8-c991-4432-8cca-3e95757f7ca1,active,quarterly,2026-06-09 20:00:15.25+00,2026-09-09 20:00:15.25+00,ea6735f2-9da6-44a9-a630-66779c1accfb,2026-06-09 20:00:25.078+00,2026-06-09 20:00:25.078+00
02cc87d3-15f3-4608-ab05-c7fb796b1003,acac8fbf-d3b0-4728-8262-7d9eaaac3704,afc702a8-c991-4432-8cca-3e95757f7ca1,active,quarterly,2026-06-22 19:19:48.675+00,2026-09-22 19:19:48.675+00,ae4b171a-be71-4e89-913d-a1f191e485f5,2026-06-22 19:20:00.514+00,2026-06-22 19:20:00.514+00
0671623b-01d1-4a3e-9bf3-b2041062ac34,ffd767a5-8f34-4ccf-b35e-a12c01c0a4ce,afc702a8-c991-4432-8cca-3e95757f7ca1,active,quarterly,2026-06-22 19:26:32.429+00,2026-09-22 19:26:32.429+00,2b67e44d-9b18-4d52-8bea-6ae3595b7189,2026-06-22 19:26:42.95+00,2026-06-22 19:26:42.95+00
aa707799-3e4f-45ee-b7a2-6f0fbe4e9b0d,433f8342-5727-49e3-8ac2-8a23feb880c0,afc702a8-c991-4432-8cca-3e95757f7ca1,active,quarterly,2026-06-24 14:44:56.065+00,2026-09-24 14:44:56.065+00,4237bf09-9be0-4442-a71e-5b15ca0b060f,2026-06-24 14:45:07.877+00,2026-06-24 14:45:07.877+00
97c00535-97c9-4f1e-9514-bfc87f7bb154,b8863bee-7af2-4367-8038-4545a6db9781,afc702a8-c991-4432-8cca-3e95757f7ca1,active,annual,2026-07-06 20:35:13.051+00,2027-07-06 20:35:13.051+00,82d41a1a-2010-4a1b-9392-0e1ec7c615a5,2026-07-06 20:35:14.477+00,2026-07-06 20:35:14.477+00
7be03c77-5195-4069-8260-c3cceb074c7a,9647402f-c830-48fb-92a7-e1e0f719045f,afc702a8-c991-4432-8cca-3e95757f7ca1,active,annual,2026-07-06 20:36:29.974+00,2027-07-06 20:36:29.974+00,77e1a268-7cef-4012-91c6-ee9d8451200f,2026-07-06 20:36:31.139+00,2026-07-06 20:36:31.139+00
fbb9de82-8588-4d47-a197-6990a2807489,08c65746-17f1-487e-b488-17cea01e4b51,afc702a8-c991-4432-8cca-3e95757f7ca1,active,quarterly,2026-07-08 19:58:45.467+00,2026-10-08 19:58:45.467+00,140c8360-55df-47e0-ac14-86a065521f82,2026-07-08 19:58:46.709+00,2026-07-08 19:58:46.709+00
f374daed-b565-4ebf-b29a-273aa5757aab,e50fcb28-10bf-4ad0-809a-1785d438b3c1,afc702a8-c991-4432-8cca-3e95757f7ca1,active,annual,2026-07-08 23:51:17.931+00,2027-07-08 23:51:17.931+00,d3042ea0-bf59-4dcc-82ea-d87bb45281a5,2026-07-08 23:51:18.882+00,2026-07-08 23:51:18.882+00
c9202e8e-f0b1-4cc3-89e9-7f618e5b5df5,7d593222-6286-4f16-9e99-8204ad0b8c93,afc702a8-c991-4432-8cca-3e95757f7ca1,active,quarterly,2026-07-16 17:58:07.709+00,2026-10-16 17:58:07.709+00,1bfae214-848f-4b80-9acc-a18ca4565c40,2026-07-16 17:58:08.745+00,2026-07-16 17:58:08.745+00
8143cba1-dcb4-4974-a92c-8066bccd9fe8,f94a3014-2ada-4aea-958e-49294fe7dc16,afc702a8-c991-4432-8cca-3e95757f7ca1,active,quarterly,2026-07-20 12:15:57.067+00,2026-10-20 12:15:57.067+00,f7f748ac-4f3a-4c25-ae73-24bcc16d46c9,2026-07-20 12:15:58.154+00,2026-07-20 12:15:58.154+00
a678c09c-38ff-4bbe-9e18-fd3bad34af7b,687c435a-65db-4384-9def-f04e812ed0af,afc702a8-c991-4432-8cca-3e95757f7ca1,active,quarterly,2026-07-20 18:54:01.395+00,2026-10-20 18:54:01.395+00,a5f5d02d-6a3a-4ded-8115-7dd5806f0f8f,2026-07-20 18:54:02.8+00,2026-07-20 18:54:02.8+00
58c05ae2-5f34-49f0-b091-844b6b05ff72,cb3ec6b4-1f4e-4e39-9150-e980c922f3ea,afc702a8-c991-4432-8cca-3e95757f7ca1,active,quarterly,2026-07-27 19:56:15.034+00,2026-10-27 19:56:15.034+00,eb9de59f-384c-4b01-91dc-dc2b1d1ed9e0,2026-07-27 19:56:16.337+00,2026-07-27 19:56:16.337+00
81d1a24a-3d8f-4166-b3d0-a96d0136ea44,7f87b999-6509-4e17-8bb0-15b51121ff89,afc702a8-c991-4432-8cca-3e95757f7ca1,active,quarterly,2026-06-29 20:38:08.574+00,2026-09-29 20:38:08.574+00,fffa795a-ed46-4f20-ace8-109c05911f91,2026-06-29 20:38:18.254+00,2026-06-29 20:38:18.254+00
b1d6d9ea-1725-4666-8aad-d7e4f7a1f9c9,76e33705-980f-4c41-a0b3-3c25511b66cb,afc702a8-c991-4432-8cca-3e95757f7ca1,active,semiannual,2026-05-27 00:00:00+00,2026-11-27 00:00:00+00,d640e41c-2134-4850-a575-1487802654ac,2026-05-27 19:27:04.695+00,2026-07-01 20:35:10.417+00
