id,teamId,createdBy,name,description,csvStoragePath,totalContacts,isArchived,createdAt,updatedAt,isSystemDefault,isBlocklist,managedByBackofficeUserId
d9dfd041-02b2-422b-997b-b283870a5fe5,a9c81e05-8b1a-47ad-a80d-dbc45603f068,0c96a57e-6cc1-400f-bf3a-5740b699ac21,Teste,,,0,f,2026-04-16 00:47:54.853+00,2026-04-16 00:47:54.853+00,f,f,
b7d90ec9-cd35-4f40-b1b4-404ec6214db8,32ccdbe1-627f-4fe3-a506-056b997ed89b,8474aaf6-e7d1-4165-9bef-bf76bc701038,02/07,,,376,f,2026-07-01 19:10:02.292+00,2026-07-21 16:52:33.65+00,f,f,
08bd2e3a-ac78-456c-b85c-cacc382d4ada,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,teste,,,0,t,2026-05-26 14:33:41.089+00,2026-06-02 02:42:58.722+00,f,f,
ee41120d-575c-47fb-875e-a6cad6d2dcdc,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,Ainda não contratou,,,439,f,2026-07-15 22:02:33.875+00,2026-07-21 16:52:33.686+00,f,f,
9af04567-12a8-4f2e-bb45-e090a481c99d,a9c81e05-8b1a-47ad-a80d-dbc45603f068,0c96a57e-6cc1-400f-bf3a-5740b699ac21,Teste,,,0,f,2026-06-17 11:07:15.42+00,2026-06-17 11:07:15.42+00,f,f,
f24152aa-b2ac-4b3c-b9de-a6c506f94c18,b3db042c-4932-4f66-8aff-3136ed50db97,0c96a57e-6cc1-400f-bf3a-5740b699ac21,Todos contatos,,,0,f,2026-07-24 18:27:14.981+00,2026-07-24 18:27:14.981+00,t,f,
5f78e977-5060-4d3d-a0ae-5a827623d5e1,f12782b1-df3b-4ed4-9efb-f915874bf83c,b0737bfd-7bea-493b-8cfc-14946fcea8cd,Contratou mas não acessou,Campanha para acessar e usar a plataforma,,1,f,2026-07-10 17:28:04.855+00,2026-07-10 17:28:20.053+00,f,f,
596d4c97-bf5a-4a8d-89ca-024af700cbf2,1c2d5668-5cd9-49a7-a138-3ccd2bea5cbb,0c96a57e-6cc1-400f-bf3a-5740b699ac21,Bloqueados,,,3,f,2026-07-23 03:23:07.696+00,2026-07-24 09:34:55.219+00,f,t,
ce4b987a-7bbe-4e35-be61-68e155855172,3519d0a1-12b5-4a38-bbd5-a5b9d518cb53,0c96a57e-6cc1-400f-bf3a-5740b699ac21,Todos contatos,,,0,f,2026-06-19 12:37:23.908+00,2026-06-19 12:37:23.908+00,t,f,
ff188aec-c698-47df-87fa-05977a7e20f4,3519d0a1-12b5-4a38-bbd5-a5b9d518cb53,0c96a57e-6cc1-400f-bf3a-5740b699ac21,Engenheiros-200,,,0,f,2026-06-19 12:40:02.773+00,2026-06-19 12:40:02.773+00,f,f,
