id,templateId,teamId,actorProfileId,eventType,description,metadata,createdAt
6ebdc516-ef6e-4870-9044-1857e59ef6e1,67f5b5d8-786a-44a0-ab0a-22e88f66c47f,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,created,Template criado,"{""versionNumber"": 1}",2026-06-24 12:51:27.798+00
bd18babb-cf80-4742-8540-658a1a8260cd,edf2fadc-e5f3-48dc-838b-0fea612ce4cd,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,created,Template criado,"{""versionNumber"": 1}",2026-06-24 13:18:11.012+00
65c6577d-133e-4dd0-b556-fcc122a54587,edf2fadc-e5f3-48dc-838b-0fea612ce4cd,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-06-24 13:18:27.27+00
3780c0d8-a812-4b7c-a665-cebb9a400e11,edf2fadc-e5f3-48dc-838b-0fea612ce4cd,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,published,Template publicado,"{""versionNumber"": 1}",2026-06-24 13:18:31.922+00
69bf3fa1-3f0a-4a8d-ab1f-d0839b95f89c,52ae5ce9-aa3d-4ced-acdc-3b47d28a0084,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,version_created,Versão 2.0 criada a partir da versão 1.0,"{""versionNumber"": 2, ""sourceTemplateId"": ""edf2fadc-e5f3-48dc-838b-0fea612ce4cd""}",2026-07-01 16:39:04.13+00
b5a2edb8-5e7a-4fd4-aaf7-d834a5a60872,52ae5ce9-aa3d-4ced-acdc-3b47d28a0084,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 2}",2026-07-01 16:39:18.071+00
b597577f-3e49-478c-92ee-6207f1273b58,52ae5ce9-aa3d-4ced-acdc-3b47d28a0084,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,published,Template publicado,"{""versionNumber"": 2}",2026-07-01 16:39:24.313+00
4c84af10-1dc8-4607-8550-1a082d24fccb,7579f320-50b6-42a5-9a99-5a772b317403,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,version_created,Versão 3.0 criada a partir da versão 2.0,"{""versionNumber"": 3, ""sourceTemplateId"": ""52ae5ce9-aa3d-4ced-acdc-3b47d28a0084""}",2026-07-01 16:39:34.188+00
9f7a1089-e098-4eb6-8b39-17b289e7cf0f,7579f320-50b6-42a5-9a99-5a772b317403,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 3}",2026-07-01 16:39:53.907+00
52382ee7-14ef-4462-8783-4227598944ab,7579f320-50b6-42a5-9a99-5a772b317403,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,published,Template publicado,"{""versionNumber"": 3}",2026-07-01 16:39:59.082+00
717041b4-464b-416a-9d04-81d0aa44594a,a429b619-0c46-4bb3-bb06-982152845b5a,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,version_created,Versão 4.0 criada a partir da versão 3.0,"{""versionNumber"": 4, ""sourceTemplateId"": ""7579f320-50b6-42a5-9a99-5a772b317403""}",2026-07-01 16:41:34.208+00
8492f0c3-dc23-42aa-ac54-a61cc6502ebf,a429b619-0c46-4bb3-bb06-982152845b5a,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 4}",2026-07-01 16:42:57.608+00
50f75507-bcc3-4da4-bedf-3e07f130fcd8,a429b619-0c46-4bb3-bb06-982152845b5a,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 4}",2026-07-01 17:10:24.454+00
85140b9c-b97b-40ab-a431-5115950dd979,a429b619-0c46-4bb3-bb06-982152845b5a,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,published,Template publicado,"{""versionNumber"": 4}",2026-07-01 17:10:29.918+00
eca824cd-7aa9-4ded-8c3c-9c042f54bd59,676da27c-647a-4377-8532-1d1d568e74af,32ccdbe1-627f-4fe3-a506-056b997ed89b,8474aaf6-e7d1-4165-9bef-bf76bc701038,version_created,Versão 5.0 criada a partir da versão 4.0,"{""versionNumber"": 5, ""sourceTemplateId"": ""a429b619-0c46-4bb3-bb06-982152845b5a""}",2026-07-01 19:41:12.228+00
f06ccf78-b152-49b0-8069-dc938ae10e4d,676da27c-647a-4377-8532-1d1d568e74af,32ccdbe1-627f-4fe3-a506-056b997ed89b,8474aaf6-e7d1-4165-9bef-bf76bc701038,draft_saved,Rascunho salvo,"{""versionNumber"": 5}",2026-07-01 19:42:55.51+00
96eae373-5803-484b-86d3-e5356a3d0d93,676da27c-647a-4377-8532-1d1d568e74af,32ccdbe1-627f-4fe3-a506-056b997ed89b,8474aaf6-e7d1-4165-9bef-bf76bc701038,published,Template publicado,"{""versionNumber"": 5}",2026-07-01 19:43:02.821+00
6a9d52d6-5d1a-4df7-a91b-a3772a3cbf5d,84d51ec8-3d96-491e-a6d4-ae4b1c0198f7,32ccdbe1-627f-4fe3-a506-056b997ed89b,8474aaf6-e7d1-4165-9bef-bf76bc701038,version_created,Versão 6.0 criada a partir da versão 5.0,"{""versionNumber"": 6, ""sourceTemplateId"": ""676da27c-647a-4377-8532-1d1d568e74af""}",2026-07-02 11:55:59.446+00
1fcb1fa5-60ca-47ba-a908-48ed882ddea7,84d51ec8-3d96-491e-a6d4-ae4b1c0198f7,32ccdbe1-627f-4fe3-a506-056b997ed89b,8474aaf6-e7d1-4165-9bef-bf76bc701038,draft_saved,Rascunho salvo,"{""versionNumber"": 6}",2026-07-02 11:59:12.724+00
658ad5aa-3a40-4ac4-88a7-b16756caef68,84d51ec8-3d96-491e-a6d4-ae4b1c0198f7,32ccdbe1-627f-4fe3-a506-056b997ed89b,8474aaf6-e7d1-4165-9bef-bf76bc701038,draft_saved,Rascunho salvo,"{""versionNumber"": 6}",2026-07-02 12:01:25.25+00
6b259972-eed5-4463-902e-1731ae006728,84d51ec8-3d96-491e-a6d4-ae4b1c0198f7,32ccdbe1-627f-4fe3-a506-056b997ed89b,8474aaf6-e7d1-4165-9bef-bf76bc701038,draft_saved,Rascunho salvo,"{""versionNumber"": 6}",2026-07-02 12:01:35.124+00
913a00aa-6fcd-4ed0-850a-f2c14680c6a7,84d51ec8-3d96-491e-a6d4-ae4b1c0198f7,32ccdbe1-627f-4fe3-a506-056b997ed89b,8474aaf6-e7d1-4165-9bef-bf76bc701038,published,Template publicado,"{""versionNumber"": 6}",2026-07-02 12:01:41.023+00
290d542a-4e87-421f-9657-fd491886f854,db25be91-be20-4f75-a85d-d274fa97531e,32ccdbe1-627f-4fe3-a506-056b997ed89b,8474aaf6-e7d1-4165-9bef-bf76bc701038,version_created,Versão 7.0 criada a partir da versão 6.0,"{""versionNumber"": 7, ""sourceTemplateId"": ""84d51ec8-3d96-491e-a6d4-ae4b1c0198f7""}",2026-07-02 12:09:34.669+00
c0110ac0-e0e5-465a-82e5-9635dc8705f6,db25be91-be20-4f75-a85d-d274fa97531e,32ccdbe1-627f-4fe3-a506-056b997ed89b,8474aaf6-e7d1-4165-9bef-bf76bc701038,draft_saved,Rascunho salvo,"{""versionNumber"": 7}",2026-07-02 12:09:56.991+00
894a9015-f5eb-4acc-ae7b-c608e4ad5c4f,db25be91-be20-4f75-a85d-d274fa97531e,32ccdbe1-627f-4fe3-a506-056b997ed89b,8474aaf6-e7d1-4165-9bef-bf76bc701038,published,Template publicado,"{""versionNumber"": 7}",2026-07-02 12:10:03.137+00
7a26e988-1bc9-491f-9ad3-ab8c4f2c1f8d,df701050-efba-4007-8f44-c28c808f787f,a9c81e05-8b1a-47ad-a80d-dbc45603f068,0c96a57e-6cc1-400f-bf3a-5740b699ac21,created,Template criado,"{""versionNumber"": 1}",2026-07-02 13:11:28.715+00
5014c744-e15e-4d50-9584-c6520861db6e,67f5b5d8-786a-44a0-ab0a-22e88f66c47f,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,submitted_for_approval,Template enviado para aprovação,"{""versionNumber"": 1}",2026-07-03 17:58:56.518+00
02ced724-250a-4e25-b255-a9190f08922b,6d616d42-1b03-43f5-a71e-d8445f13c5b0,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,version_created,Versão 8.0 criada a partir da versão 6.0,"{""versionNumber"": 8, ""sourceTemplateId"": ""84d51ec8-3d96-491e-a6d4-ae4b1c0198f7""}",2026-07-04 17:28:10.887+00
95c554bc-3c11-41e1-8546-ef3a7582d65e,6d616d42-1b03-43f5-a71e-d8445f13c5b0,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 8}",2026-07-04 17:32:13.911+00
2c4d1f5c-84c3-4138-b505-79f58aba072d,6d616d42-1b03-43f5-a71e-d8445f13c5b0,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 8}",2026-07-04 18:39:29.943+00
9d20b541-adda-4a26-b7f9-d84d887cb1e2,6d616d42-1b03-43f5-a71e-d8445f13c5b0,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 8}",2026-07-04 18:43:46.708+00
9ab6cefb-e8fe-420f-8998-474f1608a66b,6d616d42-1b03-43f5-a71e-d8445f13c5b0,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 8}",2026-07-04 18:44:47.892+00
72e5d034-1a97-49ef-88ea-45b9812aa6b0,6d616d42-1b03-43f5-a71e-d8445f13c5b0,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,published,Template publicado,"{""versionNumber"": 8}",2026-07-04 18:44:48.33+00
