id,name,normalizedName,createdBy,createdAt,updatedAt,isActive,isDefault,iconUrl,activatedAt,deactivatedAt
6546eaaf-c328-4fa1-a2bf-c863720ad7c8,Santa Casa,santacasa,f88f2b3b-3f45-4170-83e1-4e7999d2c012,2026-06-03 13:18:35.801+00,2026-06-03 13:18:35.801+00,t,t,,,
0a52376f-1ce8-473a-abb6-a0ad1045015f,Alice,alice,,2026-03-06 20:23:12.759366+00,2026-06-03 13:51:04.939+00,t,t,https://wcnxwdcoambpfwxwubka.supabase.co/storage/v1/object/public/profile-icons/f88f2b3b-3f45-4170-83e1-4e7999d2c012/health-plan-1780494661363-2645f6.webp,,
366cb776-2c4a-4d12-820c-6534bf4a2472,Amil,amil,,2026-03-06 20:23:12.759366+00,2026-06-03 13:51:29.364+00,t,t,https://wcnxwdcoambpfwxwubka.supabase.co/storage/v1/object/public/profile-icons/f88f2b3b-3f45-4170-83e1-4e7999d2c012/health-plan-1780494680341-183vtt.webp,,
c02b23e8-209b-4987-b955-3f185d439a82,Benevida,benevida,f88f2b3b-3f45-4170-83e1-4e7999d2c012,2026-06-03 13:17:34.734+00,2026-06-03 13:53:07.918+00,t,t,https://wcnxwdcoambpfwxwubka.supabase.co/storage/v1/object/public/profile-icons/f88f2b3b-3f45-4170-83e1-4e7999d2c012/health-plan-1780494782877-r66oh1.jpg,,
1d30f9e3-4a95-4c8b-8b44-9d262153b798,Outros,outros,,2026-03-06 20:23:12.759366+00,2026-03-06 20:23:12.759366+00,t,t,,,
3e6167a0-7534-4914-82a6-162250627b32,Bradesco,bradesco,,2026-03-06 20:23:12.759366+00,2026-06-03 13:56:01.983+00,t,t,https://wcnxwdcoambpfwxwubka.supabase.co/storage/v1/object/public/profile-icons/f88f2b3b-3f45-4170-83e1-4e7999d2c012/health-plan-1780494959307-fhb9dk.webp,,
f05fd350-4ae6-4cba-b21c-613312025641,Nova Adesão,novaadesao,,2026-03-06 20:23:12.759366+00,2026-03-06 20:23:12.759366+00,t,t,,,
fb276cdb-c8e4-4499-9c4c-d1e58746d7e9,Hapvida,hapvida,,2026-03-06 20:23:12.759366+00,2026-06-03 13:56:40.575+00,t,t,https://wcnxwdcoambpfwxwubka.supabase.co/storage/v1/object/public/profile-icons/f88f2b3b-3f45-4170-83e1-4e7999d2c012/health-plan-1780494997023-3u6kru.png,,
5a72ab1f-056f-4f73-a49f-203f4844f020,MedSênior,medsenior,,2026-03-06 20:23:12.759366+00,2026-06-03 13:57:04.692+00,t,t,https://wcnxwdcoambpfwxwubka.supabase.co/storage/v1/object/public/profile-icons/f88f2b3b-3f45-4170-83e1-4e7999d2c012/health-plan-1780495020501-jqutt9.png,,
607bbc41-2d3c-40c4-9f5c-67ee0482d4c9,NotreDame Intermédica (GNDI),notredameintermedica(gndi),,2026-03-06 20:23:12.759366+00,2026-06-03 13:57:24.986+00,t,t,https://wcnxwdcoambpfwxwubka.supabase.co/storage/v1/object/public/profile-icons/f88f2b3b-3f45-4170-83e1-4e7999d2c012/health-plan-1780495041984-lnv8kc.jpg,,
43df1ed5-c910-47e5-8850-3ecdc8287a8c,Omint,omint,,2026-03-06 20:23:12.759366+00,2026-06-03 13:57:46.372+00,t,t,https://wcnxwdcoambpfwxwubka.supabase.co/storage/v1/object/public/profile-icons/f88f2b3b-3f45-4170-83e1-4e7999d2c012/health-plan-1780495063357-sk1lp0.png,,
b8e2cb07-f44e-4bf9-89b8-4466a1b47a15,Plena,plena,,2026-03-06 20:23:12.759366+00,2026-06-03 13:58:03.14+00,t,t,https://wcnxwdcoambpfwxwubka.supabase.co/storage/v1/object/public/profile-icons/f88f2b3b-3f45-4170-83e1-4e7999d2c012/health-plan-1780495079356-tqxo49.png,,
442289ae-247f-4660-9b3b-85a2f2f782df,Porto Seguro,portoseguro,,2026-03-06 20:23:12.759366+00,2026-06-03 13:58:22.47+00,t,t,https://wcnxwdcoambpfwxwubka.supabase.co/storage/v1/object/public/profile-icons/f88f2b3b-3f45-4170-83e1-4e7999d2c012/health-plan-1780495097465-d36tel.png,,
1253e797-9fa2-4cc1-ad40-9d87442c928d,Prevent Senior,preventsenior,,2026-03-06 20:23:12.759366+00,2026-06-03 13:58:53.061+00,t,t,https://wcnxwdcoambpfwxwubka.supabase.co/storage/v1/object/public/profile-icons/f88f2b3b-3f45-4170-83e1-4e7999d2c012/health-plan-1780495129952-kj7vyk.png,,
0c65ad60-7125-444d-8c9c-0da936bf60aa,Sermed,sermed,f88f2b3b-3f45-4170-83e1-4e7999d2c012,2026-06-03 13:17:18.769+00,2026-06-03 13:59:20.646+00,t,t,https://wcnxwdcoambpfwxwubka.supabase.co/storage/v1/object/public/profile-icons/f88f2b3b-3f45-4170-83e1-4e7999d2c012/health-plan-1780495156807-9oh7yl.png,,
4a47f9aa-6c35-4f53-9cb8-8536659daa94,Unimed,unimed,,2026-03-06 20:23:12.759366+00,2026-06-03 13:59:58.603+00,t,t,https://wcnxwdcoambpfwxwubka.supabase.co/storage/v1/object/public/profile-icons/f88f2b3b-3f45-4170-83e1-4e7999d2c012/health-plan-1780495195273-m4uctz.png,,
54732835-07aa-4709-ac87-708d634787c5,SulAmérica,sulamerica,,2026-03-06 20:23:12.759366+00,2026-06-03 14:02:12.466+00,t,t,https://wcnxwdcoambpfwxwubka.supabase.co/storage/v1/object/public/profile-icons/f88f2b3b-3f45-4170-83e1-4e7999d2c012/health-plan-1780495329071-d3443s.png,,
