id,leadId,finalizedDateAt,startDateAt,duration,amount,notes,closerId,operadora,productName,contractFileUrl,contractStoragePath,createdAt,updatedAt,contractType
175db032-eafd-46cf-901c-2a17926023f0,c2bfd600-a4a4-474f-8c54-87046a3e6e7b,2026-04-10 03:00:00+00,2026-03-04 03:00:00+00,16,2045.00,,,,,,,2026-04-14 13:33:22.163+00,2026-04-14 13:33:22.163+00,individual
17b8f3a2-1f21-4252-82f5-cc20113b66e6,8adeb95e-e290-42b8-bac9-3f81d36bb9a1,2026-04-28 00:25:36.57+00,2026-04-28 00:25:36.57+00,25,1000.00,Venda finalizada. Valor: R$ 1000,,,,,,2026-04-28 00:25:36.572+00,2026-04-28 00:25:36.572+00,individual
1ef46ba0-5cb6-4df4-9b74-2a4713762be0,f58c988b-7ed1-4c90-8557-95e9110465ba,2026-05-15 03:00:00+00,2026-05-15 03:00:00+00,10,1566.11,,2528e875-ab7b-4905-a98b-998a318b883e,Amil,Amil S750 R1,,,2026-05-17 14:08:46.593+00,2026-05-17 14:08:46.593+00,individual
33909457-d68e-4f93-aad3-a8e7747140ad,cf6085ca-0bee-47b1-9447-b51077d2c6d3,2026-01-16 20:28:18.304+00,2026-01-16 20:28:18.304+00,0,1800.00,Venda finalizada. Valor: R$ 1800,,,,,,2026-01-16 20:28:18.305+00,2026-01-16 20:28:18.305+00,individual
3517675c-1eb3-4cb1-b73b-d7247241a2d3,523d88b3-891f-4659-ab7f-f6a704228ea2,2026-05-08 15:44:27.945+00,2026-05-08 15:44:27.945+00,2,329.84,Venda finalizada. Valor: R$ 329.84,,,,,,2026-05-08 15:44:27.947+00,2026-05-08 15:44:27.947+00,individual
35895b9c-60a5-49c0-921a-354aa64a3fcf,411c2047-a740-4885-9649-ffa4d6d8e561,2027-04-24 03:00:00+00,2026-04-24 03:00:00+00,389,2677.84,,,,,,,2026-04-27 11:31:14.232+00,2026-04-27 11:31:14.232+00,individual
41842e69-9b90-48be-aebf-64da9b308b46,7fd8561b-06a5-4fcd-9e76-f2070499acb9,2026-01-16 20:17:01.752+00,2026-01-16 20:17:01.752+00,0,0.00,Venda finalizada. Valor: R$ 0,,,,,,2026-01-16 20:17:01.753+00,2026-01-16 20:17:01.753+00,individual
4e54ef08-b6b1-45a4-b668-c6535140b858,7028bd00-e70d-4fbe-a8ae-63e9a15e9968,2026-01-16 20:48:58.327+00,2026-01-16 20:48:58.327+00,0,640.00,Venda finalizada. Valor: R$ 640,,,,,,2026-01-16 20:48:58.329+00,2026-01-16 20:48:58.329+00,individual
50bc5084-7f3d-40f7-a13f-31f80e5475cb,9980abc8-220e-4662-b33c-dfcd60089876,2026-04-24 13:23:15.336+00,2026-04-24 13:23:15.336+00,30,0.00,Venda finalizada. Valor: R$ 0,,,,,,2026-04-24 13:23:15.338+00,2026-04-24 13:23:15.338+00,individual
53e4e132-ed3c-4bb9-8c91-7b4e0e61ef26,5404aae2-5982-43da-a98d-45da0e559c0b,2026-04-27 23:37:40.783+00,2026-04-27 23:37:40.783+00,0,0.00,Venda finalizada. Valor: R$ 0,,,,,,2026-04-27 23:37:40.785+00,2026-04-27 23:37:40.785+00,individual
6a9191df-3f7f-4bc4-b556-ba5cf5704062,28200428-5dea-4126-aecd-1a1bf4634826,2026-03-04 19:26:45.859+00,2026-03-04 19:26:45.859+00,47,1150.00,Venda finalizada. Valor: R$ 1150,,,,,,2026-03-04 19:26:45.861+00,2026-03-04 19:26:45.861+00,individual
74e9797c-f2d3-4f11-b2d4-c63afbf46870,c2bfd600-a4a4-474f-8c54-87046a3e6e7b,2026-04-14 13:32:26.991+00,2026-04-14 13:32:26.991+00,20,2000.00,Venda finalizada. Valor: R$ 2000,,,,,,2026-04-14 13:32:26.992+00,2026-04-14 13:32:26.992+00,individual
7bb07f5c-af50-4928-be42-4e26aabd2b01,f034f8fa-7085-4743-af48-8fd6b239ee5b,2026-01-16 18:54:33.916+00,2026-01-16 18:54:33.916+00,2,2170.00,Venda finalizada. Valor: R$ 2170,,,,,,2026-01-16 18:54:33.917+00,2026-01-16 18:54:33.917+00,individual
7d0e5a58-364f-493d-a0ca-942a62a2c7dd,411c2047-a740-4885-9649-ffa4d6d8e561,2027-04-27 03:00:00+00,2026-04-27 03:00:00+00,392,2660.00,,493aecc1-6791-4d62-bc63-f4f55c78e44e,Porto Seguro,,,,2026-05-13 16:20:47.079+00,2026-05-13 16:20:47.079+00,individual
841e9158-50a9-43a4-9fc3-0b2a593891a4,0967d3df-812c-405b-ac48-ab6a99061a2a,2026-04-05 03:46:34.002+00,2026-04-05 03:46:34.002+00,3,0.00,Venda finalizada. Valor: R$ 0,,,,,,2026-04-05 03:46:34.005+00,2026-04-05 03:46:34.005+00,individual
8c3beeb1-caea-42fe-8d88-4948b60be795,6a831150-feee-4496-b9ec-fa6dc4d10422,2027-05-07 03:00:00+00,2026-05-07 03:00:00+00,366,10000.00,Contrato de teste,,Bradesco,,,,2026-05-07 20:22:59.63+00,2026-05-22 18:02:07.61+00,individual
97ac9893-1c17-4ca5-97bf-ec27deb63eab,f334f71b-900c-4e8e-a847-be52e15f68a7,2026-04-27 23:34:32.698+00,2026-04-27 23:34:32.698+00,23,0.00,Venda finalizada. Valor: R$ 0,,,,,,2026-04-27 23:34:32.7+00,2026-04-27 23:34:32.7+00,individual
