id,questionId,label,value,position,score,createdAt,updatedAt
4be930bf-486b-43a6-b9ab-37e58b5eabe1,70231e95-38ed-4e16-a1e4-92c8673e22e9,Alice,Alice,0,2,2026-07-22 12:41:59.299+00,2026-07-22 12:41:59.299+00
c0102a86-aa5e-4797-add0-9392d872bc0c,70231e95-38ed-4e16-a1e4-92c8673e22e9,Amil,Amil,1,1,2026-07-22 12:41:59.299+00,2026-07-22 12:41:59.299+00
3c371484-2bee-4385-9606-5a941f18f636,70231e95-38ed-4e16-a1e4-92c8673e22e9,Benevida,Benevida,2,1,2026-07-22 12:41:59.299+00,2026-07-22 12:41:59.299+00
41e122bd-8833-4913-b529-15809413f869,70231e95-38ed-4e16-a1e4-92c8673e22e9,Bradesco,Bradesco,3,1,2026-07-22 12:41:59.299+00,2026-07-22 12:41:59.299+00
8788a350-713c-4951-bd9e-281d3969c0ab,70231e95-38ed-4e16-a1e4-92c8673e22e9,Hapvida,Hapvida,4,1,2026-07-22 12:41:59.299+00,2026-07-22 12:41:59.299+00
1e96efa8-1117-492a-8bdf-4066146d5888,70231e95-38ed-4e16-a1e4-92c8673e22e9,MedSênior,MedSênior,5,1,2026-07-22 12:41:59.299+00,2026-07-22 12:41:59.299+00
df17952c-6a69-4921-83d6-86bb867c05f6,70231e95-38ed-4e16-a1e4-92c8673e22e9,NotreDame Intermédica (GNDI),NotreDame Intermédica (GNDI),6,1,2026-07-22 12:41:59.299+00,2026-07-22 12:41:59.299+00
a9a5777a-785e-4763-ba69-5395c3d24ebf,70231e95-38ed-4e16-a1e4-92c8673e22e9,Nova Adesão,Nova Adesão,7,1,2026-07-22 12:41:59.299+00,2026-07-22 12:41:59.299+00
4a1bbb4d-6b10-4154-acee-3d31b1c0208e,70231e95-38ed-4e16-a1e4-92c8673e22e9,Omint,Omint,8,1,2026-07-22 12:41:59.299+00,2026-07-22 12:41:59.299+00
4f24005d-daf4-4cc0-99a9-3dc0ef63475a,70231e95-38ed-4e16-a1e4-92c8673e22e9,Outros,Outros,9,1,2026-07-22 12:41:59.299+00,2026-07-22 12:41:59.299+00
bd2e7344-28c5-4feb-bb7e-5780ec6567cb,70231e95-38ed-4e16-a1e4-92c8673e22e9,Plena,Plena,10,1,2026-07-22 12:41:59.299+00,2026-07-22 12:41:59.299+00
16466020-0da6-4aec-a194-b415751cacdf,70231e95-38ed-4e16-a1e4-92c8673e22e9,Porto Seguro,Porto Seguro,11,1,2026-07-22 12:41:59.299+00,2026-07-22 12:41:59.299+00
9c876a1b-4ee0-4fec-83bd-4e9cd02b7f2c,70231e95-38ed-4e16-a1e4-92c8673e22e9,Prevent Senior,Prevent Senior,12,1,2026-07-22 12:41:59.299+00,2026-07-22 12:41:59.299+00
0d336dc2-eb42-4566-bc9f-0a3660ddb832,70231e95-38ed-4e16-a1e4-92c8673e22e9,Santa Casa,Santa Casa,13,1,2026-07-22 12:41:59.299+00,2026-07-22 12:41:59.299+00
738caa56-9d97-47f4-a309-14a6d26f18fb,70231e95-38ed-4e16-a1e4-92c8673e22e9,Sermed,Sermed,14,1,2026-07-22 12:41:59.299+00,2026-07-22 12:41:59.299+00
c119a6c0-cae1-4555-b30b-b0b5b67d7160,70231e95-38ed-4e16-a1e4-92c8673e22e9,SulAmérica,SulAmérica,15,1,2026-07-22 12:41:59.299+00,2026-07-22 12:41:59.299+00
827771ed-db22-45bd-9af7-090525bee16a,70231e95-38ed-4e16-a1e4-92c8673e22e9,Unimed,Unimed,16,1,2026-07-22 12:41:59.299+00,2026-07-22 12:41:59.299+00
b549b6a5-2132-475a-8422-ab2793d04da9,42770867-90dd-4934-8fa8-90c759600f28,Com coparticipação,Com coparticipação,0,2,2026-07-22 12:41:59.396+00,2026-07-22 12:41:59.396+00
34e89acf-f292-42f3-b108-6c490ce70384,42770867-90dd-4934-8fa8-90c759600f28,Sem coparticipação,Sem coparticipação,1,1,2026-07-22 12:41:59.396+00,2026-07-22 12:41:59.396+00
beba5485-b919-454c-a5b0-ec868a1c1a73,0782cb4e-1a0e-4468-b0df-13d514b48c9a,Enfermaria,Enfermaria,0,2,2026-07-22 12:41:59.434+00,2026-07-22 12:41:59.434+00
70c94aa1-339e-471d-90dd-5374c0e8b34e,0782cb4e-1a0e-4468-b0df-13d514b48c9a,Apartamento,Apartamento,1,1,2026-07-22 12:41:59.434+00,2026-07-22 12:41:59.434+00
8896ad22-78a1-4e38-91c9-806bc0f37a01,f350d1cf-ba5a-4692-901a-7a56d5be85b6,CNPJ (Empresarial),CNPJ (Empresarial),0,2,2026-07-22 12:41:59.472+00,2026-07-22 12:41:59.472+00
3d72d005-220b-45cb-9295-933594558a3c,f350d1cf-ba5a-4692-901a-7a56d5be85b6,Pessoa Física,Pessoa Física,1,1,2026-07-22 12:41:59.472+00,2026-07-22 12:41:59.472+00
e9870a29-3772-47f2-bfe8-c4b2760f03b9,4326e19b-816c-420d-b6e1-5d8f2ce938f6,Albert Einstein,Albert Einstein,0,2,2026-07-22 12:41:59.51+00,2026-07-22 12:41:59.51+00
9f935e7b-8571-4b1e-808c-7aa945cb32a0,4326e19b-816c-420d-b6e1-5d8f2ce938f6,Nove de Julho,Nove de Julho,1,1,2026-07-22 12:41:59.51+00,2026-07-22 12:41:59.51+00
fbbf88ad-3a60-4a85-8a09-65942d386b94,4326e19b-816c-420d-b6e1-5d8f2ce938f6,São Luiz,São Luiz,2,1,2026-07-22 12:41:59.51+00,2026-07-22 12:41:59.51+00
dc6af1b4-edc4-447c-ae41-e92f2ffa9d4f,4326e19b-816c-420d-b6e1-5d8f2ce938f6,Sírio Libanês,Sírio Libanês,3,1,2026-07-22 12:41:59.51+00,2026-07-22 12:41:59.51+00
