id,formId,type,title,description,placeholder,required,position,config,mappingTarget,mappingKey,createdAt,updatedAt
0a3b2194-3492-4e1b-ab61-985f95230873,c0cb61f1-0d1c-4b7e-98f3-5e977b642356,health_plan,Qual é a sua operadora atual?,Selecione a operadora do plano que você tem hoje.,,t,0,"{""pageKey"": ""af7d10f0-be41-4af7-a498-73327cae0495""}",native_field,currentHealthPlan,2026-07-26 15:37:09.398+00,2026-07-26 15:37:09.398+00
1f5b3348-041b-479b-b5f9-abc12a57f607,c0cb61f1-0d1c-4b7e-98f3-5e977b642356,currency,Qual é o valor atual do plano?,Informe o valor total da mensalidade que você paga hoje.,"0,00",t,1,"{""pageKey"": ""fffacb5b-5778-4252-b32f-843bc5482d21""}",native_field,currentValue,2026-07-26 15:37:09.446+00,2026-07-26 15:37:09.446+00
a0357dfc-2e8c-491d-ab35-a0318bb118b3,c0cb61f1-0d1c-4b7e-98f3-5e977b642356,text,Quais são as idades dos beneficiários?,"Separe as idades por vírgula. Ex: 42, 38, 10","42, 38, 10",t,2,"{""pageKey"": ""d3ecd829-ef48-4e3b-8557-aea388150d85""}",native_field,age,2026-07-26 15:37:09.47+00,2026-07-26 15:37:09.47+00
cdd180ef-ea04-477a-8f20-f6e0f4fc44b6,c0cb61f1-0d1c-4b7e-98f3-5e977b642356,single_choice,Coparticipação,,,t,3,"{""pageKey"": ""641e559b-f92d-49a1-9a4f-64d6fbeaa5f0""}",history,,2026-07-26 15:37:09.494+00,2026-07-26 15:37:09.494+00
13035408-0425-4681-a3e7-0c3b768d5d7a,c0cb61f1-0d1c-4b7e-98f3-5e977b642356,single_choice,Acomodação,,,t,4,"{""pageKey"": ""641e559b-f92d-49a1-9a4f-64d6fbeaa5f0""}",history,,2026-07-26 15:37:09.528+00,2026-07-26 15:37:09.528+00
c74c3356-0906-4dad-8f3e-5e11f7d0d84f,c0cb61f1-0d1c-4b7e-98f3-5e977b642356,single_choice,Contratação,,,t,5,"{""pageKey"": ""641e559b-f92d-49a1-9a4f-64d6fbeaa5f0""}",history,,2026-07-26 15:37:09.563+00,2026-07-26 15:37:09.563+00
9b99a0e4-6686-4d3f-97ad-89bb98aa1856,c0cb61f1-0d1c-4b7e-98f3-5e977b642356,multiple_choice,Qual hospital você não abre mão?,Selecione até 2 hospitais de referência.,,t,6,"{""pageKey"": ""e45f3c00-7865-41d5-9b32-7df0f27e7a77"", ""maxSelections"": 2}",native_field,referenceHospital,2026-07-26 15:37:09.598+00,2026-07-26 15:37:09.598+00
42da79d2-ef7e-4d48-9e72-69285cc1eff0,c0cb61f1-0d1c-4b7e-98f3-5e977b642356,single_choice,Há quanto tempo você está nesse plano?,Isso impacta diretamente no cálculo de reajuste acumulado.,,t,7,"{""pageKey"": ""36e1723a-5ff7-4841-87c1-32c4772975f2""}",history,,2026-07-26 15:37:09.632+00,2026-07-26 15:37:09.632+00
150aea9f-a0cf-4782-956a-7f975da052a6,c0cb61f1-0d1c-4b7e-98f3-5e977b642356,text,Nome completo,,Seu nome,t,8,"{""pageKey"": ""c2c7f0bb-98ab-4d3d-99c2-322301f645de""}",native_field,name,2026-07-26 15:37:09.665+00,2026-07-26 15:37:09.665+00
10f536c4-9151-4793-b9b2-ca6ee75e5986,c0cb61f1-0d1c-4b7e-98f3-5e977b642356,phone,WhatsApp,,(11) 99999-9999,t,9,"{""pageKey"": ""c2c7f0bb-98ab-4d3d-99c2-322301f645de""}",native_field,phone,2026-07-26 15:37:09.688+00,2026-07-26 15:37:09.688+00
55cf4b5c-b4e0-4322-af8b-40e966f15a49,c0cb61f1-0d1c-4b7e-98f3-5e977b642356,email,E-mail,,seuemail@exemplo.com,t,10,"{""pageKey"": ""c2c7f0bb-98ab-4d3d-99c2-322301f645de""}",native_field,email,2026-07-26 15:37:09.711+00,2026-07-26 15:37:09.711+00
d509e8d1-985f-4015-8928-b12dd412352c,c0cb61f1-0d1c-4b7e-98f3-5e977b642356,calculation,Resultado da simulação,Estimativa de economia com base nas suas respostas.,,f,11,"{""engine"": ""health_plan_reduction"", ""pageKey"": ""01ca8f45-cb59-406c-90b5-255ac49998cb""}",history,,2026-07-26 15:37:09.733+00,2026-07-26 15:37:09.733+00
7c535a70-c36e-4537-aa0c-d114e26ca3f2,c0cb61f1-0d1c-4b7e-98f3-5e977b642356,scheduling,Escolha o melhor horário,Selecione um horário disponível. Você vai receber o convite no e-mail.,,t,12,"{""pageKey"": ""17368927-d71a-43ae-9cd0-92c54f7b4530""}",history,,2026-07-26 15:37:09.756+00,2026-07-26 15:37:09.756+00
70231e95-38ed-4e16-a1e4-92c8673e22e9,3d48cb9d-069e-4fe1-a6c5-ef9b4684d697,health_plan,Qual é a sua operadora atual?,Selecione a operadora do plano que você tem hoje.,,f,0,"{""pageKey"": ""a54508e9-9f9e-4ed8-9beb-77af0025e972""}",native_field,currentHealthPlan,2026-07-22 12:41:59.281+00,2026-07-22 12:41:59.281+00
b5639c8e-4afd-4898-9942-0217d9963496,3d48cb9d-069e-4fe1-a6c5-ef9b4684d697,currency,Qual é o valor atual do plano?,Informe o valor total da mensalidade que você paga hoje.,"0,00",f,1,"{""pageKey"": ""205216d5-55e8-417a-8d45-758d93fb2e91""}",native_field,currentValue,2026-07-22 12:41:59.332+00,2026-07-22 12:41:59.332+00
c5a6ef90-6aa2-4618-bba0-5b4988f3440d,3d48cb9d-069e-4fe1-a6c5-ef9b4684d697,text,Quais são as idades dos beneficiários?,"Separe as idades por vírgula. Ex: 42, 38, 10","42, 38, 10",f,2,"{""pageKey"": ""d387d5ac-c7a6-42f6-ab62-010c0c0a4482""}",native_field,age,2026-07-22 12:41:59.358+00,2026-07-22 12:41:59.358+00
42770867-90dd-4934-8fa8-90c759600f28,3d48cb9d-069e-4fe1-a6c5-ef9b4684d697,single_choice,Coparticipação,,,t,3,"{""pageKey"": ""d3c948e5-24b1-4563-86c5-dc9b8ba5ab1c""}",history,,2026-07-22 12:41:59.383+00,2026-07-22 12:41:59.383+00
0782cb4e-1a0e-4468-b0df-13d514b48c9a,3d48cb9d-069e-4fe1-a6c5-ef9b4684d697,single_choice,Acomodação,,,t,4,"{""pageKey"": ""d3c948e5-24b1-4563-86c5-dc9b8ba5ab1c""}",history,,2026-07-22 12:41:59.421+00,2026-07-22 12:41:59.421+00
