id,taskId,profileId,status,googleEventId,googleCalendarId,googleSynced,assignedAt,updatedAt
146dc118-dc94-48d2-93cc-eb01828cb433,801c385f-612f-444a-90ad-b782ffa22e59,8474aaf6-e7d1-4165-9bef-bf76bc701038,PENDING,MnBReXBPNW03YTRrM1gwdQ,@default,t,2026-05-17 20:08:54.003+00,2026-05-17 20:08:57.4+00
1f1f9440-e420-49c2-9742-3daaaff4f783,86bc2e37-9d72-4768-b41f-ca4b6abb257c,8474aaf6-e7d1-4165-9bef-bf76bc701038,PENDING,QkRIY2tLQWlhemlfdkhKbA,@default,t,2026-05-15 15:21:12.038+00,2026-05-15 15:21:15.59+00
286cfc60-4684-448d-9b9f-7e6a586dc8a5,a8d19a10-6ad2-41f4-bc5c-d209f08b3d3b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,DONE,vv84ts6fpbncdop4nandldq10c,primary,t,2026-05-12 23:07:10.809+00,2026-05-12 23:43:51.798+00
3aca9743-1ce4-4938-a3b7-2019b2abb7a5,5d40780b-c211-4e4b-a6da-6df252ebcf43,8474aaf6-e7d1-4165-9bef-bf76bc701038,DONE,87st7v6md945mnflvmg4sj1dh0,primary,t,2026-05-13 00:39:34.449+00,2026-05-13 00:39:59.289+00
44220155-c2de-4a3c-b5d0-c14ea589ad38,d4b94629-1c52-41af-9941-f311f7a9daa0,b0737bfd-7bea-493b-8cfc-14946fcea8cd,PENDING,Ujdtbl9mOXBteHl2Yllwag,@default,t,2026-05-17 20:07:59.695+00,2026-05-17 20:08:03.944+00
4ba95f59-c323-4110-b486-965ed486e461,547c8175-20c4-4479-b480-a40e886d9d5b,c691c0dd-076e-41fd-984b-ea622fcff1c9,PENDING,,,f,2026-05-21 13:17:08.597+00,2026-05-21 13:17:08.597+00
5138d60a-d0f3-4f3b-8d23-fc82f8d246e0,801c385f-612f-444a-90ad-b782ffa22e59,b0737bfd-7bea-493b-8cfc-14946fcea8cd,PENDING,YUtQX2NRMFpVSnFybWZrTw,@default,t,2026-05-17 20:08:54.003+00,2026-05-17 20:08:58.145+00
6d8a9055-b204-4a08-8699-b78ab8ff91bc,d4b94629-1c52-41af-9941-f311f7a9daa0,8474aaf6-e7d1-4165-9bef-bf76bc701038,PENDING,MUg5VnVYS2xPTmVkV1RhTg,@default,t,2026-05-17 20:07:59.695+00,2026-05-17 20:08:03.108+00
717c6c6c-55d7-4159-a4d1-87563000b1ba,d4b94629-1c52-41af-9941-f311f7a9daa0,a204e374-ff36-435a-9c05-b1b51c28b638,PENDING,,,f,2026-05-17 20:07:59.695+00,2026-05-17 20:07:59.695+00
89adc05b-2b7b-4fd8-9501-219bde64c9a2,2b22ef66-77b6-4fec-b944-d9461e3e59b8,b0737bfd-7bea-493b-8cfc-14946fcea8cd,DONE,022q3kmjrkofhj2o0ktn0ab6j8,primary,t,2026-05-13 13:59:32.802+00,2026-05-13 14:08:57.271+00
9a00a015-87a7-4986-83d7-0c2b6cf1d2f5,18d7d1b1-55d3-4ba0-bd33-c8d15a2c0738,b0737bfd-7bea-493b-8cfc-14946fcea8cd,PENDING,SmFDSGxENmhHWjl6NmNxSA,@default,t,2026-05-17 20:13:05.063+00,2026-05-17 20:13:09.241+00
a06a0def-b04b-43ee-8619-705ca20950be,18d7d1b1-55d3-4ba0-bd33-c8d15a2c0738,8474aaf6-e7d1-4165-9bef-bf76bc701038,PENDING,dHBnUnYxR2E2REQwazR0Mw,@default,t,2026-05-17 20:13:05.063+00,2026-05-17 20:13:08.526+00
bba72452-9419-413c-b01a-cfce04fef9fd,d9781e2a-8d9f-40e9-8b7a-bab688765667,8474aaf6-e7d1-4165-9bef-bf76bc701038,PENDING,cnFOenRYUU1jeDFqNXVRYQ,@default,t,2026-05-17 20:07:22.779+00,2026-05-17 20:07:26.339+00
