id,teamId,profileId,role,functions,createdAt,updatedAt,canTransferAccountLeads,canCreateAccountUsers,canManageAccountTeams,canViewAllTeams
34a5bd4e-0fe7-427e-8d04-29edd7f06199,27edf455-e61a-48a9-a846-e2c6f42999b5,1faaf4ba-2cc1-4969-be76-d8e765fc95ba,operator,{SDR},2026-06-29 14:33:32.799+00,2026-06-29 14:33:32.799+00,f,f,f,f
96a8687d-3b32-4bc1-9ef1-642ef9d573ee,32ccdbe1-627f-4fe3-a506-056b997ed89b,c55a28b3-798e-45db-8129-8aeb8046dcd5,backoffice,"{SDR,CLOSER}",2026-06-01 21:51:39.025+00,2026-06-22 21:44:20.579+00,f,f,f,f
47778376-a89f-4554-8e7c-83e05683e090,7c1667f5-2896-47be-9c31-ab159c365074,622792ae-2c9c-4456-8018-f733add31b7b,operator,{SDR},2026-07-02 17:27:54.305+00,2026-07-02 17:27:54.305+00,f,f,f,f
99f52139-7d23-4257-9507-7617c8ff1221,c9f53e6a-9386-4d55-bff5-290b7acf27dd,b8863bee-7af2-4367-8038-4545a6db9781,manager,"{SDR,CLOSER}",2026-07-06 20:35:14.068+00,2026-07-06 20:35:14.068+00,f,t,t,f
faf14b70-26a3-4103-82d5-dba1d439f316,9d005015-cf2c-4590-9c46-e55e56c7696d,9647402f-c830-48fb-92a7-e1e0f719045f,manager,"{SDR,CLOSER}",2026-07-06 20:36:30.755+00,2026-07-06 20:36:30.755+00,f,t,t,f
05f1df44-90f6-413c-9d44-e7b5cb8f1966,a9c81e05-8b1a-47ad-a80d-dbc45603f068,88826808-567c-46b2-b41d-2168ef6c85d2,operator,{SDR},2026-06-23 17:02:28.573341+00,2026-06-23 18:35:42.623285+00,f,f,f,f
6a155e58-bca6-47af-affa-f53cac554502,760fc14a-229e-4212-9aa9-f90de968af69,88826808-567c-46b2-b41d-2168ef6c85d2,operator,{SDR},2026-06-23 17:02:28.573341+00,2026-06-23 18:35:42.623285+00,f,f,f,f
7599f293-2168-4932-ab9d-f2200271cffe,bdef184d-6217-4cdf-a59f-dc37008d13fd,88826808-567c-46b2-b41d-2168ef6c85d2,operator,{SDR},2026-06-23 17:02:28.573341+00,2026-06-23 18:35:42.623285+00,f,f,f,f
03b3dcd4-c84a-4300-bb30-3089068c586e,ebe67fdd-2e23-43c0-8e9b-8abec2682d09,88826808-567c-46b2-b41d-2168ef6c85d2,operator,{SDR},2026-06-23 17:02:28.573341+00,2026-06-23 18:35:42.623285+00,f,f,f,f
ec1b66fa-d51c-4971-a91d-8f6c6e9823b1,3258f102-8146-4986-964f-8c8f53441300,88826808-567c-46b2-b41d-2168ef6c85d2,operator,{SDR},2026-06-23 17:02:28.573341+00,2026-06-23 18:35:42.623285+00,f,f,f,f
