id,resendEmailId,resendEventType,occurredAt,tagsHint,status,attempts,lastError,processedAt,createdAt,updatedAt
d7586523-8fb2-42ce-bae8-ac5db9edd902,dbfeefd0-2a6b-48ef-80fc-128659bf45a6,email.sent,2026-07-07 17:00:53.439+00,,skipped,5,Não foi possível criar EmailLog órfão,2026-07-07 18:40:22.956+00,2026-07-07 17:00:55.723+00,2026-07-07 18:40:22.957+00
5fcf1de8-f192-4857-bfe3-a00ffe3cfe64,6987483f-29a0-4154-b1cc-5de1f8e8a1d3,email.delivered,2026-07-07 17:00:50.676+00,,skipped,5,Não foi possível criar EmailLog órfão,2026-07-07 18:40:24.375+00,2026-07-07 17:00:55.984+00,2026-07-07 18:40:24.376+00
792cd9bf-fc50-479e-8e83-ab688fc95dd0,e491d345-7317-45f3-8465-80942cd40023,email.sent,2026-07-07 13:51:01.135+00,"{""team_id"": ""90bb1d12-5855-4f3e-aecb-e92f597e650c"", ""category"": ""transactional"", ""source_id"": ""T2952D"", ""source_type"": ""lead_transfer_activated""}",processed,1,,2026-07-07 13:55:46.858+00,2026-07-07 13:51:03.685+00,2026-07-07 13:55:46.859+00
734cef04-a81d-4296-bf00-fe4170dd1924,57a04c4a-b5fc-4a68-9c08-249fccc5ae20,email.sent,2026-07-07 13:51:01.347+00,"{""team_id"": ""90bb1d12-5855-4f3e-aecb-e92f597e650c"", ""category"": ""transactional"", ""source_id"": ""T2952D"", ""source_type"": ""lead_transfer_activated""}",processed,1,,2026-07-07 13:55:47.306+00,2026-07-07 13:51:03.943+00,2026-07-07 13:55:47.307+00
a98372ac-de71-4e71-a13e-9cd3d7744e96,c2275b3d-5475-44ab-ae92-a0fd1c8c92dd,email.delivered,2026-07-07 17:00:42.676+00,,skipped,5,Não foi possível criar EmailLog órfão,2026-07-07 18:40:27.033+00,2026-07-07 17:00:56.257+00,2026-07-07 18:40:27.034+00
a420d21c-8505-4c32-afe5-a29c77cc88e7,56f233f9-bdbe-46c6-b8cf-b544e803e276,email.sent,2026-07-07 14:44:24.025+00,"{""purpose"": ""template-test"", ""team_id"": ""32ccdbe1-627f-4fe3-a506-056b997ed89b"", ""category"": ""transactional"", ""source_id"": ""3ba24f17-c2bc-410e-b297-4539d9355ea7"", ""templateId"": ""3ba24f17-c2bc-410e-b297-4539d9355ea7"", ""source_type"": ""template-test""}",processed,1,,2026-07-07 14:45:47.095+00,2026-07-07 14:44:26.608+00,2026-07-07 14:45:47.096+00
7dcd1cd3-1187-406e-b548-3a7491c4908a,911ef196-026d-4c5a-b2c9-0ef0536b2f5c,email.sent,2026-07-07 14:51:20.05+00,"{""purpose"": ""template-test"", ""team_id"": ""32ccdbe1-627f-4fe3-a506-056b997ed89b"", ""category"": ""transactional"", ""source_id"": ""21f52cbc-bade-450a-a5a5-0f649625cecf"", ""templateId"": ""21f52cbc-bade-450a-a5a5-0f649625cecf"", ""source_type"": ""template-test""}",processed,1,,2026-07-07 14:55:46.847+00,2026-07-07 14:51:22.632+00,2026-07-07 14:55:46.848+00
02b9109a-2f86-4112-a8cd-a0fd8420573b,cd8b0a66-b6d3-4e9a-9d39-bdd8673f92cb,email.delivered,2026-07-07 17:00:51.004+00,,skipped,5,Não foi possível criar EmailLog órfão,2026-07-07 18:40:20.152+00,2026-07-07 17:00:55.388+00,2026-07-07 18:40:20.154+00
cb885835-2105-432d-8984-1027df907a8f,6b992246-0a33-48f2-8824-14c6c464683e,email.sent,2026-07-07 17:00:52.39+00,,skipped,5,Não foi possível criar EmailLog órfão,2026-07-07 18:40:21.57+00,2026-07-07 17:00:55.494+00,2026-07-07 18:40:21.571+00
2d7033b4-7dab-481f-a2e3-eda5ba463a3c,9624f918-2ab7-47bb-bedb-aa40352becff,email.opened,2026-07-06 17:00:55.842+00,,skipped,5,Não foi possível criar EmailLog órfão,2026-07-07 15:55:20.419+00,2026-07-07 15:32:08.38+00,2026-07-07 15:55:20.42+00
32837a95-f535-4398-9af8-897458ff122e,838dcfd3-a02f-4a86-984e-410bdf0f6bef,email.opened,2026-07-01 19:54:56.902+00,"{""purpose"": ""template-test"", ""templateId"": ""676da27c-647a-4377-8532-1d1d568e74af""}",skipped,5,Não foi possível criar EmailLog órfão,2026-07-07 15:55:22.011+00,2026-07-07 15:34:32.838+00,2026-07-07 15:55:22.012+00
65da7887-3caf-4725-b0eb-59ff5ec01936,e379e1c2-ce82-41c2-800a-2f187da45151,email.sent,2026-07-07 15:38:46.67+00,"{""purpose"": ""template-test"", ""team_id"": ""32ccdbe1-627f-4fe3-a506-056b997ed89b"", ""category"": ""transactional"", ""source_id"": ""b584e88d-4c9d-492e-8b6d-2eefc3a12b37"", ""templateId"": ""b584e88d-4c9d-492e-8b6d-2eefc3a12b37"", ""source_type"": ""template-test""}",processed,1,,2026-07-07 15:40:23.259+00,2026-07-07 15:38:49.449+00,2026-07-07 15:40:23.26+00
ea009a52-3399-4976-a04c-29a3517c2dd0,aa0b75f4-d16d-49e0-b85c-d8117c5f1049,email.sent,2026-07-07 15:29:45.261+00,"{""team_id"": ""7b577c22-5513-42cc-ab19-2bf867e14ebc"", ""category"": ""transactional"", ""source_id"": ""C35906A"", ""source_type"": ""lead_transfer_activated""}",skipped,5,"
Invalid `prisma.emailLog.update()` invocation:


Unique constraint failed on the fields: (`resendEmailId`)",2026-07-07 15:50:19.946+00,2026-07-07 15:29:47.501+00,2026-07-07 15:50:19.947+00
38f7f587-b65e-4257-bfdf-dd14cbf033cb,82f9fc39-e30f-48ea-8ee4-e009b66a537c,email.opened,2026-07-07 11:00:31.228+00,,skipped,5,Não foi possível criar EmailLog órfão,2026-07-07 16:15:19.486+00,2026-07-07 15:53:47.761+00,2026-07-07 16:15:19.487+00
2a72c548-5930-474e-a4c1-0592ed87fcd0,7cbd2025-e712-47c2-b07d-5e9837dd555c,email.opened,2026-07-03 17:17:53.428+00,,skipped,5,Não foi possível criar EmailLog órfão,2026-07-07 16:45:19.851+00,2026-07-07 16:25:02.943+00,2026-07-07 16:45:19.853+00
bcba1f6a-8ee9-40d2-ad16-706173e5ca35,122fae96-9d16-4053-9764-a3dfb0a4bd4a,email.opened,2026-07-03 14:09:22.462+00,,skipped,5,Não foi possível criar EmailLog órfão,2026-07-07 16:45:21.132+00,2026-07-07 16:25:09.399+00,2026-07-07 16:45:21.133+00
